20398,florida-am,1987,MEAC,0.733,82.3,Aldwin Ware,29,0,35,0.484,0.535,0.275,0.79,5.3,4.1,4.9,0.7,2.5,19.5,Willie Booker 
20399,georgia,1987,SEC,0.556,73.4,Alec Kessler,35,0,30.8,0.492,0.492,0,0.787,5.6,0.7,0.5,0.6,1.9,12.6,Hugh Durham 
20400,texas,1987,SWC,0.552,70.7,Alex Broadway,21,0,0,0.333,0.389,0.262,0.623,7.7,4.9,1.7,0.1,0,5.4,Bob Weltlich 
20401,fairfield,1987,MAAC,0.286,63.7,Alex Forbes,2,0,0,0,0,0,0,0.5,0,0,0,0,0,Mitch Buonaguro 
20402,morgan-state,1987,MEAC,0.433,75.9,Alex Parker,14,0,4.5,0.231,0.167,1,0.8,0.6,0,0,0,0.4,0.8,Nathaniel Frazier 
20403,saint-peters,1987,MAAC,0.69,69.5,Alex Roberts,29,28,32.4,0.555,0.556,0,0.757,9.5,1.6,1.4,1.5,2.9,17,Ted Fiore 
20404,oregon-state,1987,Pac-10,0.645,67.5,Allan Celestine,17,0,0,0.458,0.458,0,0.5,0.9,0.4,0.5,0.1,0,1.4,Ralph Miller 
20405,southern-mississippi,1987,Metro,0.633,90.7,Allen Chapman,5,0,0,0.5,0.5,0,0,0.2,0,0,0,0,0.4,M.K. Turk 
20406,arkansas,1987,SWC,0.7,75.5,Allie Freeman,29,29,23.6,0.496,0.512,0.25,0.855,1.9,2,0.9,0.1,1.2,6.2,Nolan Richardson 
20407,prairie-view,1987,SWAC,0.185,72.4,Alton Glasco,5,0,0,0.429,0.429,0,1,0.2,0,0,0,0,1.4,Jim Duplantier 
20408,texas,1987,SWC,0.552,70.7,Alvin Heggs,29,0,0,0.615,0.615,0,0.781,6.5,0.8,0.5,0.2,0,14.9,Bob Weltlich 
20409,louisiana-monroe,1987,Southland,0.7,75.1,Alvin Jefferson,29,21,28.5,0.568,0.568,0,0.661,6.2,2.1,1.4,0.1,2.3,10.6,Mike Vining 
20410,alabama,1987,SEC,0.452,66.3,Alvin Lee,29,12,28.4,0.478,0.476,0.48,0.841,2,2.4,1.3,0.1,2.8,15.4,Wimp Sanderson 
20411,iona,1987,MAAC,0.407,77.7,Alvin Lott,27,0,0,0.463,0.493,0.383,0.686,2.1,4.1,1.7,0.1,0,12.5,Gary Brokaw 
20412,east-tennessee-state,1987,Southern,0.483,75.4,Alvin West,28,0,10.8,0.391,0.412,0.32,0.528,1.2,0.9,0.8,0.1,1,4,Les Robinson 
20413,tulsa,1987,MVC,0.286,66.7,Alyn Thomsen,24,1,8.6,0.333,0.333,0,0.364,1.7,0.2,0.1,0.3,0.4,0.8,J.D. Barnett 
20414,maine,1987,ECACN,0.464,76,Amadou Barry,27,0,0,0.478,0.478,0,0.561,9.4,1.3,0.7,0.8,0,11.6,Skip Chappelle 
20415,princeton,1987,Ivy,0.654,64.8,Anders Vestergaard,14,0,0,0.526,0.526,0,0.625,1.4,1.2,0.2,0.2,0,1.8,Pete Carril 
20416,robert-morris,1987,ECACM,0.5,69.2,Andre Boyd,28,0,0,0.394,0.405,0.273,0.733,2.2,3.6,1.1,0.1,0,5.1,Jarrett Durham 
20417,marshall,1987,Southern,0.75,83.8,Andre Cunningham,28,0,0,0.508,0.508,0.5,0.583,1.7,0.3,0.2,0.2,0,3.1,Rick Huckabay 
20418,western-carolina,1987,Southern,0.296,73.2,Andre Gault,23,23,30.4,0.487,0.487,0,0.817,8.2,1.3,1,0.5,2,10.8,Herb Krusen 
20419,rhode-island,1987,A-10,0.8,86.5,Andre Green,13,0,1.8,0.273,0.3,0,0.8,0.6,0,0.1,0.2,0.2,0.8,Tommy Penders 
20420,austin-peay,1987,OVC,0.567,77.2,Andre Harris,30,0,0,0.463,0.477,0.25,0.62,6.3,1.5,1.3,1.2,0,14.1,Lake Kelly 
20421,st-francis-ny,1987,ECACM,0.379,66,Andre Kibbler,29,0,0,0.531,0.533,0.333,0.717,9.1,1.2,1,1,0,14.3,Bob Valvano 
20422,louisiana-lafayette,1987,ASC,0.429,73.6,Andre Knight,19,1,8.3,0.529,0.529,0,0.5,1,0.2,0.2,0,0.7,2.4,Marty Fletcher 
20423,fordham,1987,MAAC,0.545,69.3,Andre McClendon,21,0,0,0.362,0.381,0.323,0.732,0.8,2.4,0.6,0,0,5.1,Nick Macarchuk 
20424,long-beach-state,1987,PCAA,0.586,81.9,Andre Purry,29,0,0,0.486,0.488,0.475,0.637,5.3,3.1,1.1,0.4,0,14.3,Joe Harrington 
20425,michigan-state,1987,Big Ten,0.357,69.5,Andre Rison,18,2,14.1,0.25,0.227,0.3,0.556,0.9,2.3,0.4,0.1,1.6,1.3,Jud Heathcote 
20426,fresno-state,1987,PCAA,0.321,66.2,Andre Sims,27,0,0,0.389,0.404,0.381,0.459,1.6,3.4,0.8,0.1,0,7.3,Ron Adams 
20427,oklahoma,1987,Big 8,0.897,102.9,Andre Wiley,30,0,0,0.532,0.537,0,0.727,3.4,0.3,0.4,0.2,0,6,Billy Tubbs 
20428,texas-southern,1987,SWAC,0.724,83.1,Andre Young,29,27,0,0.435,0.413,0.484,0.778,2.2,4.1,1.1,0.2,1.5,9.2,Robert Moreland 
20429,georgia-state,1987,A-Sun,0.321,79.8,Andrew Arrington,14,0,0,0.333,0.333,0,0.75,0.9,0.1,0.1,0,0,0.9,Bob Reinhart 
20430,california,1987,Pac-10,0.31,63.9,Andrew Brigham,24,0,0,0.346,0.36,0,0.667,1.4,0.2,0.1,0,0,1.6,Lou Campanelli 
20431,william-mary,1987,CAA,0.345,71.1,Andrew Emory,10,0,0,0.222,0.25,0,0.75,1,0.1,0,0.3,0,0.7,Chuck Swenson 
20432,texas,1987,SWC,0.552,70.7,Andrew Fowler,17,0,0,0.462,0.462,0,0.5,1,0.1,0.1,0.1,0,0.9,Bob Weltlich 
20433,grambling,1987,SWAC,0.433,73.1,Andrew Glover,20,2,8.9,0.556,0.556,0,0.435,2.3,0.3,0.4,0.2,1.2,3,Robert Hopkins 
20434,arkansas,1987,SWC,0.7,75.5,Andrew Lang,30,29,24.8,0.527,0.527,0,0.45,7.3,0.3,0.4,2.6,1.7,9.3,Nolan Richardson 
20435,central-michigan,1987,MAC,0.594,74.5,Andrew McGuire,4,0,0,0.429,0.429,0,1,1.8,0.8,0,0.3,0,2,Charlie Coles 
20436,gonzaga,1987,WCAC,0.571,72.6,Andrew Snyder,0,0,0,0,0,0,0,0,0,0,0,0,0,Dan Fitzgerald 
20437,stanford,1987,Pac-10,0.636,78.1,Andrew Vlahov,25,0,0,0.413,0.455,0.3,0.563,3.4,1.1,0.6,0.3,0,3.4,Mike Montgomery 
20438,northern-illinois,1987,Ind,0.286,77.5,Andrew Wells,22,0,0,0.407,0.407,0,0.705,5.7,0.7,0.3,0.3,0,4.1,Jim Rosborough 
20439,stetson,1987,A-Sun,0.464,75.6,Andrew Woodward,28,26,23.8,0.517,0.517,0,0.806,4.3,0.5,0.5,0.8,1.6,8.5,Glenn Wilkes 
20440,north-texas,1987,Southland,0.567,76.1,Andrien Choplick,24,0,6.9,0.481,0.481,0,0.8,0.9,0.2,0.1,0.1,0.3,1.4,Jimmy Gales 
20441,american,1987,CAA,0.5,72.5,Andy Bon Salle,26,0,0,0.374,0.374,0,0.632,5.4,0.4,0.4,0.2,0,5.4,Ed Tapscott 
20442,delaware,1987,ECC,0.679,76.5,Andy Carter,3,0,10,0.333,0.333,0,0,2.3,0,0,0,0,2,Steve Steinwedel 
