team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
fairfield,1995,MAAC,0.667,70.9,"Aaron Seymour",15,0,0,0.3,0.3,0,0.5,0.6,0,0,0.1,0,0.7,"Paul Cormier "
navy,1995,Patriot,0.556,65.6,"Aaron Smith",16,0,0,0.241,0.2,0.333,0.75,0.8,0.9,0.2,0,0,1.3,"Don DeVoe "
wyoming,1995,WAC,0.483,74,"Aaron Smith",29,0,0,0.315,0.36,0.227,0.773,0.9,1.4,1,0.1,0,4.3,"Joby Wright "
toledo,1995,MAC,0.563,73.6,"Aaron Stumpf",11,0,0,0.462,0.429,0.5,0.375,0.7,0.1,0.1,0,0,1.6,"Larry Gipson "
kansas-state,1995,"Big 8",0.586,67.9,"Aaron Swartzendruber",29,0,0,0.372,0.417,0.329,0.731,2.6,1.6,0.7,0,0,6.3,"Tom Asbury "
oregon-state,1995,Pac-10,0.148,56.2,"Aaron Thomason",7,0,0,0.364,0.364,0,0.636,1.4,0.3,0.1,0,0,2.1,"Eddie Payne "
western-michigan,1995,MAC,0.556,70.5,"Aaron Toothman",22,0,0,0.381,0.373,0.4,0.85,3.4,2,0.7,0.3,0,4.1,"Bob Donewald "
indiana-state,1995,MVC,0.385,69.2,"Aaron Williams",16,0,0,0.516,0.516,0,0.467,1.9,0.2,0.2,0.2,0,2.4,"Sherman Dillard "
south-alabama,1995,"Sun Belt",0.444,57.3,"Aaron Williams",22,0,0,0.154,0.154,0,0.55,1.2,0.4,0.5,0.1,0,0.7,"Bill Musselman "
bradley,1995,MVC,0.733,71.2,"Aaron Zobrist",26,1,19.7,0.381,0.354,0.393,0.737,2.2,1.3,0.7,0.1,0.8,7.5,"Jim Molinari "
st-francis-ny,1995,NEC,0.333,66.9,"Abdul Torrence",21,0,0,0.367,0.408,0.268,0.565,6.2,1.1,0.4,0.4,0,7,"Ron Ganulin "
columbia,1995,Ivy,0.269,58.4,"Abe Yasser",19,0,0,0.375,0.3,0.5,1,0.4,0.4,0.3,0.2,0,1.1,"Armond Hill "
central-florida,1995,A-Sun,0.367,74.8,"Abel Herrera",18,0,0,0.425,0.424,0.429,0.708,1.3,3.2,0.8,0,0,3,"Kirk Speraw "
sacramento-state,1995,AWC,0.259,67.3,"Abie Ramirez",27,0,0,0.452,0.483,0.359,0.648,7.6,1.4,1.2,1.4,0,13.7,"Don Newman "
virginia-tech,1995,A-10,0.793,70.2,"Ace Custis",29,0,0,0.507,0.523,0.286,0.673,9.5,2.4,1.7,1,0,13.4,"Bill C. Foster "
santa-clara,1995,WCC,0.69,70.8,"Adam Anderson",29,0,0,0.4,0.418,0.382,0.481,2.7,1.5,1.1,0.1,0,5,"Dick Davey "
akron,1995,MAC,0.115,62.7,"Adam Benton",0,0,0,0,0,0,0,0,0,0,0,0,0,"Dan Hipsher "
eastern-washington,1995,"Big Sky",0.115,65.3,"Adam Dean",25,0,0,0.599,0.602,0,0.826,5,0.8,0.5,0.6,0,10.5,"Steve Aggers "
jacksonville,1995,"Sun Belt",0.536,75.8,"Adam Gibeault",5,0,0,0,0,0,0,0,0,0,0,0,0,"George Scholz "
tennessee-martin,1995,OVC,0.481,74.9,"Adam Hassett",12,0,0,0.625,0.625,0,0.583,0.6,0,0,0.1,0,1.4,"Cal Luther "
liberty,1995,"Big South",0.586,68.3,"Adam Hopkins",23,0,0,0.4,0.4,0,0.464,1.4,0,0.2,0.2,0,1.8,"Jeff Meyer "
air-force,1995,WAC,0.179,67.1,"Adam Huitt",9,0,1.4,0.5,0,0.667,0,0.6,0.1,0,0.1,0.1,0.7,"Reggie Minton "
pacific,1995,"Big West",0.556,72.8,"Adam Jacobsen",27,0,0,0.386,0.416,0.376,0.733,3.2,4,1.7,0.1,0,14.1,"Bob Thomason "
charleston-southern,1995,"Big South",0.536,73,"Adam Larrick",26,0,0,0.391,0.417,0.364,0.636,0.6,0.6,0.3,0.1,0,1.1,"Gary Edwards "
montana-state,1995,"Big Sky",0.7,80.8,"Adam Leachman",30,0,0,0.405,0.46,0.308,0.597,5.4,2.8,0.7,0.3,0,10.3,"Mick Durham "
richmond,1995,CAA,0.286,68.8,"Adam Mobley",27,0,0,0.345,0.3,0.354,0.828,1,0.1,0.2,0,0,5.2,"Bill Dooley "
creighton,1995,MVC,0.483,66.6,"Adam Reid",27,0,0,0.442,0.468,0.143,0.581,3.5,0.9,0.4,0.9,0,3.8,"Dana Altman "
oral-roberts,1995,Ind,0.667,75.7,"Adam Spanich",22,0,0,0.324,0.4,0.313,0.706,0.4,0.1,0.1,0,0,2.1,"Bill Self "
louisiana-state,1995,SEC,0.414,78.1,"Adam Walton",12,0,0,0.182,0.2,0,0.5,0.6,0.2,0.3,0,0,0.4,"Dale Brown "
richmond,1995,CAA,0.286,68.8,"Adam Ward",23,0,0,0.552,0.552,0,0.611,1.3,0.6,0.2,0,0,1.9,"Bill Dooley "
bradley,1995,MVC,0.733,71.2,"Adebayo Akinkunle",30,12,18.5,0.444,0.447,0,0.667,3.5,0.5,0.3,0.4,1.3,5.3,"Jim Molinari "
north-carolina,1995,ACC,0.656,77.6,"Ademola Okulaja",32,14,25.9,0.525,0.543,0.488,0.742,5.2,2.2,1.1,0.3,1.9,6.2,"Dean Smith "
notre-dame,1995,"Big East",0.333,66.8,"Admore White",26,0,0,0.446,0.471,0.391,0.565,2.1,2.3,0.7,0,0,3.4,"John MacLeod "
colgate,1995,Patriot,0.5,72.1,"Adonal Foyle",29,0,36.6,0.517,0.521,0,0.489,12.6,1.5,0.7,5.7,3.9,20.2,"Jack Bruen "
auburn,1995,SEC,0.594,74.3,"Adrian Chilliest",32,4,12.6,0.382,0.403,0.286,0.6,2.6,0.3,0.2,0,1.2,3.1,"Cliff Ellis "
seton-hall,1995,"Big East",0.429,73.4,"Adrian Griffin",28,0,35.1,0.486,0.51,0.273,0.665,8.3,3.1,2.5,0.6,3.1,19.5,"George Blaney "
oklahoma-state,1995,"Big 8",0.63,70.2,"Adrian Peterson",27,26,27.8,0.42,0.435,0.396,0.757,2.7,2,0.9,0.1,1.6,11.3,"Eddie Sutton "
austin-peay,1995,OVC,0.633,79.2,"Adrian Sensabaugh",30,1,11.6,0.343,0.425,0.233,0.563,0.6,1,0.4,0.1,0.9,2.1,"Dave Loos "
houston,1995,SWC,0.63,77.1,"Adrian Taylor",2,0,0,0.4,0.4,0,0.5,1.5,0,1,0,0,2.5,"Alvin Brooks "
hofstra,1995,NAC,0.333,68.3,"Ahmad Jackson",27,0,0,0.519,0.516,1,0.644,5.3,0.1,0.4,0.5,0,8.7,"Jay Wright "
georgia-tech,1995,ACC,0.667,80.2,"Ajani Williams",4,0,1.3,0.333,0.333,0,0,0.5,0.3,0,0,0,0.5,"Bobby Cremins "
niagara,1995,MAAC,0.464,63.6,"Akbar Waheed",25,0,0,0.224,0.235,0.2,0.842,1,0.6,0.2,0.1,0,1.6,"Jack Armstrong "
long-beach-state,1995,"Big West",0.607,74.8,"Akeli Jackson",28,0,0,0.502,0.502,0,0.674,7.5,0.7,0.9,0.7,0,10.9,"Seth Greenberg "
chattanooga,1995,Southern,0.556,73.2,"Akintoye Oloko",13,0,0,0.571,0.571,0,0,1.3,0.1,0.2,0.1,0,1.2,"Mack McCarthy "
hampton,1995,MEAC,0.346,74.5,"Al Bell",25,0,0,0.341,0.389,0.277,0.635,6,3,1.9,0,0,15.2,"Byron Samuels "
texas,1995,SWC,0.677,81.8,"Al Coleman",13,0,0,0.143,0,0.167,0.571,0.2,0.1,0,0,0,0.5,"Tommy Penders "
lehigh,1995,Patriot,0.148,68,"Al Ferguson",15,0,0,0.625,0.625,0,0.444,0.8,0.1,0.2,0.1,0,0.9,"Dave Duke "
rutgers,1995,"Big East",0.333,71.3,"Al Karner",26,0,0,0.32,0.341,0.304,0.77,2,2.8,1.2,0,0,4.8,"Bob Wenzel "
north-carolina-state,1995,ACC,0.484,81.2,"Al Pinkins",31,0,19.2,0.491,0.542,0.403,0.592,4.8,0.6,0.5,0.2,0.5,7.5,"Les Robinson "
northeastern,1995,NAC,0.143,65.1,"Al Rue",7,0,0,0.333,0.667,0,1,0.3,0.1,0.1,0,0,0.9,"Dave Leitao "
purdue,1995,"Big Ten",0.813,73.1,"Alan Eldridge",31,0,6.1,0.448,0.462,0.438,0.545,0.6,0.7,0.2,0,0.6,1.3,"Gene Keady "
marist,1995,NEC,0.759,72.2,"Alan Tomidy",29,0,0,0.535,0.535,0,0.693,11.3,1.3,0.7,3.9,0,16.8,"Dave Magarity "
tennessee-state,1995,OVC,0.536,74.5,"Albert Bond",26,0,0,0.348,0.364,0,0.65,0.7,0.1,0,0.5,0,1.1,"Frankie Allen "
southern,1995,SWAC,0.607,90,"Albert Fisher",3,0,0,0.667,1,0,0,0,0,0.3,0,0,1.3,"Ben Jobe "
michigan,1995,"Big Ten",0.656,71.3,"Albert White",32,0,0,0.398,0.437,0.224,0.713,4.7,1.2,0.8,0.4,0,9,"Steve Fisher "
tennessee-tech,1995,OVC,0.464,79.3,"Albert Wilson",27,0,0,0.277,0.304,0.26,0.688,2.3,0.9,0.6,0,0,3.6,"Frank Harrell "
long-beach-state,1995,"Big West",0.607,74.8,"Alberto Buzzavo",10,0,0,0.25,0,0.25,0.5,0.7,0.4,0,0,0,0.6,"Seth Greenberg "
missouri-state,1995,MVC,0.571,74.9,"Ales Kunc",28,0,0,0.527,0.568,0.294,0.682,2.5,0.8,0.5,0.3,0,5.5,"Steve Alford "
hawaii,1995,WAC,0.357,76.8,"Ales Zivanovic",21,0,0,0.459,0.459,0,0.667,2.3,0.3,0.2,0.3,0,3.4,"Riley Wallace "
cornell,1995,Ivy,0.385,64.4,"Alex Compton",26,0,0,0.374,0.4,0.363,0.867,2.6,2.7,1,0.1,0,11.2,"Al Walker "
weber-state,1995,"Big Sky",0.667,84.1,"Alex Fisher",30,0,0,0.408,0.438,0.38,0.567,1.6,1.6,0.6,0.1,0,7.2,"Ron Abegglen "
miami-fl,1995,"Big East",0.536,67.3,"Alex Fraser",28,0,0,0.486,0.489,0,0.545,3.9,0.6,1.1,0.3,0,6.1,"Leonard Hamilton "
virginia-military-institute,1995,Southern,0.643,84.2,"Alex Harrington",5,0,0,0.167,0.167,0,0.667,2,0,0.4,0,0,1.2,"Bart Bellairs "
navy,1995,Patriot,0.556,65.6,"Alex Kohnen",27,0,0,0.508,0.508,0,0.618,5.5,0.6,0.3,0.9,0,6.1,"Don DeVoe "
washington,1995,Pac-10,0.571,70,"Alex Lopez",9,0,0,0.556,0.556,0,0.5,1.2,0.1,0,0.1,0,1.3,"Bob Bender "
army,1995,Patriot,0.259,66.4,"Alex Morris",1,0,1,0,0,0,0,0,0,0,0,0,0,"Dino Gaudio "
oklahoma,1995,"Big 8",0.567,79,"Alex Rideout",2,0,0,0,0,0,0,0.5,0,0,0,0,0,"Kelvin Sampson "
georgia-state,1995,A-Sun,0.385,72.2,"Alex Savvidis",10,0,0,0.364,0.364,0,0,1.3,0.3,0.1,0.6,0,0.8,"Carter Wilson "
hawaii,1995,WAC,0.357,76.8,"Alex Walker",3,0,0,0,0,0,0,0,0,0,0,0,0,"Riley Wallace "
george-washington,1995,A-10,0.724,78,"Alexander Koul",29,0,0,0.642,0.642,0,0.665,7.8,0.8,0.7,1.8,0,14.9,"Mike Jarvis "
charlotte,1995,CUSA,0.483,68.6,"Alexander Kuehl",17,0,0,0.432,0.432,0,0.578,5.1,0.5,0.2,1,0,6,"Jeff Mullins "
maryland-eastern-shore,1995,MEAC,0.407,65.1,"Alexander Mobley",26,0,0,0.339,0.339,0.333,0.614,4,0.2,0.7,0.3,0,4.2,"Jeffrey Menday "
army,1995,Patriot,0.259,66.4,"Alfred Forbes",5,5,29.2,0.464,0.463,0.5,0.5,6.4,1.8,1.6,0.6,2,16,"Dino Gaudio "
california,1995,Pac-10,0.607,75.6,"Alfred Grigsby",4,0,0,0.538,0.538,0,0.75,3.8,0,0.5,0.3,0,4.3,"Todd Bozeman "
lafayette,1995,Patriot,0.259,67.9,"Alfred McAllister",3,0,0,0.5,0.5,0.5,0.765,3.3,1.7,1.3,0,0,12.7,"Fran OHanlon "
maryland-baltimore-county,1995,"Big South",0.185,59.1,"Alhamisi Simms",27,0,0,0.342,0.341,0.344,0.881,3.2,1.2,0.6,0.2,0,11,"Tom Sullivan "
akron,1995,MAC,0.115,62.7,"Ali Kart",26,21,28.4,0.338,0.395,0.27,0.753,2.3,2.3,0.4,0,2.7,9.3,"Dan Hipsher "
cal-state-fullerton,1995,"Big West",0.231,67,"Ali Nayab",26,0,0,0.333,0.439,0.211,0.7,2.1,3.4,1.5,0,0,4.7,"Bob Hawking "
arkansas,1995,SEC,0.606,77.6,"Ali Thompson",30,2,10.7,0.427,0.461,0,0.71,1.9,0.7,0.4,0.2,0.6,3.1,"Nolan Richardson "
davidson,1995,Southern,0.833,84.3,"Ali Ton",30,0,0,0.277,0.208,0.348,0.69,1.1,2.4,1.1,0,0,1.8,"Bob McKillop "
hawaii,1995,WAC,0.357,76.8,"Alika Smith",28,0,0,0.464,0.538,0.316,0.782,3,3.7,1.9,0.1,0,10.9,"Riley Wallace "
bethune-cookman,1995,MEAC,0.444,67.4,"Alistair Henry",27,0,0,0.387,0.435,0.304,0.732,2.3,1.6,1.4,0.4,0,8.6,"Tony Sheals "
centenary-la,1995,A-Sun,0.407,76.6,"Aljay Foreman",27,0,0,0.342,0.435,0.309,0.701,2.3,2.7,1.9,0,0,10.6,"Tommy Vardeman "
kentucky,1995,SEC,0.944,91.4,"Allen Edwards",35,0,0,0.463,0.526,0.304,0.739,1.1,1.2,0.4,0.1,0,3.3,"Rick Pitino "
southeast-missouri-state,1995,OVC,0.296,70.6,"Allen Hatchett",26,0,0,0.35,0.388,0.278,0.735,2.2,3.3,1.3,0.1,0,7.3,"Ron Shumate "
georgetown,1995,"Big East",0.784,83.3,"Allen Iverson",37,37,32.8,0.48,0.546,0.366,0.678,3.8,4.7,3.4,0.4,3.8,25,"John Thompson "
maine,1995,NAC,0.536,68.6,"Allen Ledbetter",27,0,0,0.462,0.462,0,0.545,7.4,0.8,1,0.4,0,8.1,"Rudy Keeling "
coppin-state,1995,MEAC,0.655,78.6,"Allen Watson",29,0,0,0.508,0.561,0.438,0.743,3.4,6.4,2.1,0.1,0,10.3,"Fang Mitchell "
youngstown-state,1995,Mid-Cont,0.444,67.7,"Allister Green",21,0,0,0.412,0.412,0,0.182,1.7,0.1,0,0.3,0,1.4,"Dan Peters "
fairleigh-dickinson,1995,NEC,0.259,67.1,"Alvaro Mejia",21,0,0,0.348,0.238,0.4,0.64,0.6,0.6,0.5,0,0,3.8,"Tom Green "
virginia-tech,1995,A-10,0.793,70.2,"Alvaro Tor",8,0,0,0.333,0.333,0,0,0.9,0,0,0,0,0.5,"Bill C. Foster "
louisiana-monroe,1995,Southland,0.533,77.3,"Alvin Edwards",29,0,0,0.532,0.542,0.143,0.619,6.7,0.8,0.7,0.3,0,12.4,"Mike Vining "
auburn,1995,SEC,0.594,74.3,"Alvin Jefferson",32,2,13.6,0.451,0.457,0,0.569,3.1,0.1,0.2,0.8,1.2,3.3,"Cliff Ellis "
iowa,1995,"Big Ten",0.719,79.6,"Alvin Robinson",16,0,0,0.444,0.471,0,0.3,1.3,0.1,0.1,0.1,0,1.2,"Tom Davis "
louisville,1995,CUSA,0.647,76.5,"Alvin Sims",34,0,30.1,0.52,0.565,0.321,0.59,5,2.6,2.5,0.4,2.5,11.9,"Denny Crum "
central-connecticut-state,1995,Mid-Cont,0.464,78.8,"Alvin Taylor",22,0,0,0.448,0.51,0.278,0.553,2.2,0.5,0.6,0.5,0,3.9,"Mark Adams "
villanova,1995,"Big East",0.788,75.5,"Alvin Williams",33,33,32.7,0.454,0.514,0.347,0.71,3.5,5.4,1.4,0.5,2.4,11,"Steve Lappas "
marquette,1995,CUSA,0.742,72.9,"Amal McCaskill",30,0,26.5,0.549,0.55,0.5,0.649,8.9,1.3,0.6,1.8,2.6,10.3,"Mike Deane "
southern-illinois,1995,MVC,0.379,71.8,"Aminu Timberlake",29,29,18.9,0.423,0.43,0,0.581,4.2,0.9,0.5,0.6,1.3,4.4,"Rich Herrin "
robert-morris,1995,NEC,0.179,64.7,"Amon Harrod",9,0,0,0.333,0.5,0,1,0.6,0.1,0,0,0,0.4,"Jarrett Durham "
pittsburgh,1995,"Big East",0.37,72.1,"Amr El Nokali",4,0,0,0.75,0.5,1,0,0.5,0,0,0,0,2,"Ralph Willard "
northeastern-illinois,1995,Mid-Cont,0.519,78.1,"Andrae Bellfield",22,0,0,0.491,0.491,0,0.722,2.5,0.3,1,0.2,0,3,"Rees Johnson "
indiana,1995,"Big Ten",0.613,75.8,"Andrae Patterson",31,0,25.9,0.461,0.489,0.351,0.737,6.2,1.5,0.9,1.4,2.4,11.3,"Bob Knight "
pittsburgh,1995,"Big East",0.37,72.1,"Andre Alridge",27,0,0,0.392,0.371,0.398,0.605,2.4,2.7,0.8,0,0,6.7,"Ralph Willard "
mississippi,1995,SEC,0.444,69.9,"Andre Burnside",12,0,0,0.048,0.048,0,0.444,2.6,0.1,0.5,0.2,0,0.5,"Rob Evans "
arkansas-little-rock,1995,"Sun Belt",0.767,76.5,"Andre Chestnut",12,0,4.8,0.467,0.462,0.5,0.417,0.6,0.4,0.2,0,1,1.7,"Wimp Sanderson "
fairleigh-dickinson,1995,NEC,0.259,67.1,"Andre Dasher",27,0,0,0.567,0.583,0.2,0.565,4,1.9,0.6,0.3,0,6.5,"Tom Green "
charlotte,1995,CUSA,0.483,68.6,"Andre Davis",17,0,0,0.372,0.489,0.255,0.654,2,1,0.7,0.1,0,5.8,"Jeff Mullins "
pittsburgh,1995,"Big East",0.37,72.1,"Andre Howard",27,0,0,0.4,0.419,0.143,0.714,3.5,0.4,0.4,0.3,0,3.7,"Ralph Willard "
akron,1995,MAC,0.115,62.7,"Andre Johnson",18,0,4.4,0.471,0.471,0,0.75,0.8,0.1,0,0.2,0.2,1.1,"Dan Hipsher "
furman,1995,Southern,0.37,73.5,"Andre Kerr",27,0,0,0.478,0.511,0.282,0.594,5.6,0.9,0.5,0.3,0,12.1,"Joey Cantafio "
campbell,1995,A-Sun,0.607,65.7,"Andre King",28,0,0,0.427,0.427,0,0.774,4.4,0.2,0.8,0.1,0,9.9,"Billy Lee "
oregon,1995,Pac-10,0.552,76.3,"Andre Larry",19,0,0,0.37,0.412,0.25,0.476,1.3,0.1,0.3,0.2,0,2.5,"Jerry Green "
utah,1995,WAC,0.794,76.7,"Andre Miller",34,0,25.6,0.533,0.557,0.316,0.69,3.7,4.6,1.1,0.6,2.6,8.6,"Rick Majerus "
oklahoma-state,1995,"Big 8",0.63,70.2,"Andre Owens",26,22,30.9,0.386,0.406,0.316,0.785,3.5,5.4,2.2,0.1,3.2,7.3,"Eddie Sutton "
virginia-military-institute,1995,Southern,0.643,84.2,"Andre Quarles",28,0,0,0.449,0.463,0.419,0.658,1,1.5,0.5,0,0,4.5,"Bart Bellairs "
eastern-illinois,1995,Mid-Cont,0.464,69,"Andre Rodriguez",26,0,0,0.463,0.498,0.366,0.656,5.1,1.2,0.9,0.3,0,16.1,"Rick Samuels "
xavier,1995,A-10,0.464,75.4,"Andre Smith",4,0,0,0.8,0.8,0,0.4,2.5,0.8,0,0.3,0,4.5,"Skip Prosser "
san-diego,1995,WCC,0.5,68.1,"Andre Speech",28,0,0,0.497,0.565,0.393,0.654,2.4,0.6,0.3,0.5,0,8.2,"Brad Holland "
georgia-southern,1995,Southern,0.115,56.5,"Andre Wilkes",17,0,0,0.42,0.565,0.348,0.769,1.2,0.3,0.6,0.2,0,4.9,"Gregg Polinsky "
iowa,1995,"Big Ten",0.719,79.6,"Andre Woolridge",32,0,0,0.469,0.498,0.349,0.735,3.2,6,1.1,0.2,0,13.1,"Tom Davis "
george-washington,1995,A-10,0.724,78,"Andrei Krivonos",25,0,0,0.267,0.143,0.375,0.8,0.5,0.2,0.2,0,0,0.6,"Mike Jarvis "
george-washington,1995,A-10,0.724,78,"Andrei Sviridov",5,0,0,0,0,0,0,0.2,0,0,0,0,0,"Mike Jarvis "
northeastern-illinois,1995,Mid-Cont,0.519,78.1,"Andrell Hoard",27,0,0,0.404,0.434,0.265,0.602,4.3,2.6,3.6,0.7,0,21.1,"Rees Johnson "
butler,1995,"MW Coll",0.704,71.2,"Andrew Graves",0,0,0,0,0,0,0,0,0,0,0,0,0,"Barry Collier "
brown,1995,Ivy,0.385,62.8,"Andrew Hill",15,0,0,0.333,0.333,0,0.524,0.6,0.1,0.1,0.2,0,1.1,"Frank Dobbs "
coastal-carolina,1995,"Big South",0.192,66.9,"Andrew Hinton",24,0,0,0.324,0.333,0,0.565,2.1,0.2,0.5,0,0,2.4,"Michael Hopkins "
rutgers,1995,"Big East",0.333,71.3,"Andrew Kolbasovsky",27,0,0,0.473,0.511,0.365,0.639,4.7,0.8,0.8,0.1,0,10.9,"Bob Wenzel "
massachusetts,1995,A-10,0.946,74.8,"Andrew Maclay",18,0,1,0.25,0.333,0,0,0.3,0.1,0,0,0.1,0.1,"John Calipari "
winthrop,1995,"Big South",0.269,68.5,"Andrew McFalls",25,0,0,0.411,0.473,0.366,0.632,2.6,0.8,0.6,0.1,0,8.2,"Dan Kenney "
jackson-state,1995,SWAC,0.552,75.8,"Andrew Stamps",27,0,0,0.482,0.557,0.182,0.638,3.3,1,0.9,0.2,0,8,"Andy Stoglin "
clemson,1995,ACC,0.621,68,"Andrius Jurkunas",29,26,25,0.42,0.418,0.421,0.615,4.7,1.2,1.2,1.2,1.2,8.4,"Rick Barnes "
boston-college,1995,"Big East",0.633,78.2,"Andy Bedard",29,0,0,0.43,0.486,0.397,0.636,1.4,1.9,0.8,0.1,0,3.8,"Jim OBrien "
southeastern-louisiana,1995,A-Sun,0.556,85,"Andy Bolin",16,0,0,0.323,0.2,0.381,0,0.9,0.4,0.2,0,0,1.8,"John Lyles "
northeastern-illinois,1995,Mid-Cont,0.519,78.1,"Andy Christopoulus",5,0,0,0.25,0.25,0,1,1.4,0,0.2,0.2,0,1,"Rees Johnson "
cal-state-fullerton,1995,"Big West",0.231,67,"Andy Hinkle",23,0,0,0.343,0.389,0.294,0.667,1.1,0.6,0.2,0,0,1.4,"Bob Hawking "
butler,1995,"MW Coll",0.704,71.2,"Andy Hirschy",20,0,0,0.5,0,0.667,0.6,0.5,0.3,0.2,0,0,0.9,"Barry Collier "
utah,1995,WAC,0.794,76.7,"Andy Jensen",14,0,0,0.333,1,0,1,1.3,0.1,0.1,0,0,0.4,"Rick Majerus "
ohio,1995,MAC,0.533,74,"Andy Kanzig",15,0,0,0.556,0.529,1,0.5,1,0.1,0.1,0.3,0,1.5,"Larry Hunter "
nebraska,1995,"Big 8",0.6,80.2,"Andy Markowski",28,0,0,0.314,0.32,0,0.63,1.9,0.2,0.2,0.1,0,1.8,"Danny Nee "
dayton,1995,A-10,0.517,70.5,"Andy Metzler",21,0,0,0.442,0.525,0.351,0.821,1.3,0.8,0.2,0.1,0,5.4,"Oliver Purnell "
dayton,1995,A-10,0.517,70.5,"Andy Meyer",29,0,0,0.5,0.551,0.273,0.786,3.1,0.5,0.2,0,0,5.9,"Oliver Purnell "
drake,1995,MVC,0.444,69.5,"Andy Pawlowski",20,0,0,0.417,0.417,0,0.412,1.2,0.1,0.1,0.1,0,0.9,"Rudy Washington "
miami-oh,1995,MAC,0.724,74.8,"Andy Plum",13,0,0,0.2,0.2,0.2,0,0.2,0.2,0.2,0,0,0.4,"Herb Sendek "
stanford,1995,Pac-10,0.69,75.2,"Andy Poppink",29,0,0,0.483,0.504,0.2,0.804,8.4,1.8,1,0.2,0,14,"Mike Montgomery "
washington,1995,Pac-10,0.571,70,"Andy Roberson",10,0,0,0.25,0,0.25,0.5,0,0.1,0.3,0,0,0.8,"Bob Bender "
new-orleans,1995,"Sun Belt",0.7,72.6,"Andy Seigle",30,0,0,0.553,0.553,0,0.515,1.8,0.2,0.3,0.7,0,3.4,"Tic Price "
st-francis-ny,1995,NEC,0.333,66.9,"Andy Singleton",6,0,0,0,0,0,0.25,0.3,0.2,0,0,0,0.2,"Ron Ganulin "
weber-state,1995,"Big Sky",0.667,84.1,"Andy Smith",30,0,0,0.598,0.622,0.333,0.813,7.2,1.6,1.1,1.2,0,11.3,"Ron Abegglen "
siena,1995,MAAC,0.185,62.3,"Andy Thies",27,0,0,0.369,0.375,0.36,0.767,2.1,1.1,0.4,0.1,0,8.3,"Bob Beyer "
