team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
louisiana-monroe,1995,Southland,0.533,77.3,"(unknown  (unknown ",0,0,0,0,0,0,0,0,0,0,0,0,0,"Mike Vining "
oregon,1995,Pac-10,0.552,76.3,"A.D. Smith",29,0,0,0.492,0.474,0.667,0.591,2.2,0.3,0.4,0.1,0,3.2,"Jerry Green "
texas-pan-american,1995,"Sun Belt",0.321,60.7,"A.J. Ashe",17,0,0,0.36,0.5,0.111,0.667,1.2,0.1,0.1,0.1,0,1.2,"Mark Adams "
arizona,1995,Pac-10,0.788,81.6,"A.J. Bramlett",30,0,8.4,0.511,0.511,0,0.357,1.9,0.3,0.3,0.2,0.2,1.9,"Lute Olson "
saint-marys-ca,1995,WCC,0.444,71.8,"A.J. Rollins",6,0,0,0.558,0.571,0,0.813,3.7,0.7,1.2,0,0,10.2,"Ernie Kent "
texas-southern,1995,SWAC,0.423,78.9,"Aaron Allen",17,0,0,0.381,0.381,0,0.571,1.6,0.1,0,0.4,0,1.2,"Robert Moreland "
new-mexico-state,1995,"Big West",0.423,68,"Aaron Brodt",26,0,0,0.308,0.316,0.25,0.641,3.8,0.7,0.2,0.3,0,3.6,"Neil McCarthy "
central-michigan,1995,MAC,0.231,68.7,"Aaron Brown",26,0,0,0.452,0.391,0.49,0.66,3.2,0.7,0.6,0.5,0,9,"Leonard Drake "
brown,1995,Ivy,0.385,62.8,"Aaron Butler",25,0,0,0.467,0.58,0.359,0.741,2,1.2,0.8,0.3,0,8.8,"Frank Dobbs "
eastern-kentucky,1995,OVC,0.481,74.6,"Aaron Cecil",26,0,0,0.488,0.507,0.333,0.638,3.4,0.9,0.3,0,0,4.8,"Mike Calhoun "
lamar,1995,"Sun Belt",0.444,73,"Aaron Clauson",27,0,0,0.612,0.612,0,0.507,4.2,0.4,0.3,0.5,0,5.2,"Grey Giovanine "
jacksonville,1995,"Sun Belt",0.536,75.8,"Aaron Fox",28,0,0,0.527,0.565,0.333,0.632,3.6,1.5,0.8,0.3,0,9.5,"George Scholz "
tennessee,1995,SEC,0.483,62.5,"Aaron Green",29,2,20.1,0.407,0.455,0.393,0.674,0.9,1.3,0.6,0.2,1.4,6.8,"Kevin ONeill "
marquette,1995,CUSA,0.742,72.9,"Aaron Hutchins",31,0,0,0.375,0.38,0.37,0.849,3.8,6.9,1.4,0.1,0,14,"Mike Deane "
penn-state,1995,"Big Ten",0.75,74.8,"Aaron Jack",4,0,0,0.25,0.286,0,0.75,2.5,0,0.3,0,0,1.8,"Jerry Dunn "
jacksonville-state,1995,A-Sun,0.37,81.6,"Aaron Kelley",27,0,0,0.418,0.515,0.314,0.71,2.4,1.3,1,0.3,0,15.1,"Bill Jones "
maryland-eastern-shore,1995,MEAC,0.407,65.1,"Aaron McKinney",27,0,0,0.384,0.394,0.373,0.632,2.9,1.8,1.6,0.3,0,14,"Jeffrey Menday "
