team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
pacific,1999,"Big West",0.379,62.4,"A Abernethy",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bob Thomason "
northern-illinois,1999,MAC,0.464,69.4,"A Duncan",0,0,0,0,0,0,0,0,0,0,0,0,0,"Brian Hammel "
norfolk-state,1999,MEAC,0.429,76,"A Hoggard",0,0,0,0,0,0,0,0,0,0,0,0,0,"Wil Jones "
oregon,1999,Pac-10,0.733,75.6,"A.D. Smith",29,0,0,0.524,0.578,0.273,0.835,5.8,1.9,1.3,0.1,0,15.3,"Ernie Kent "
michigan-state,1999,"Big Ten",0.821,74.1,"A.J. Granger",39,0,0,0.5,0.538,0.45,0.893,5.3,1.2,0.4,0.5,0,9.5,"Tom Izzo "
indiana,1999,"Big Ten",0.69,77.7,"A.J. Guyton",29,0,34.3,0.459,0.485,0.419,0.789,3.1,2.3,1,0.4,2.4,19.7,"Bob Knight "
college-of-charleston,1999,Southern,0.8,67.8,"A.J. Harris",30,0,0,0.164,0.2,0,0.452,1.6,4.2,1,0.1,0,1.1,"John Kresse "
toledo,1999,MAC,0.581,70.9,"A.J. Shellabarger",27,0,0,0.442,0.452,0,0.583,2.1,0.1,0.1,0.1,0,1.9,"Stan Joplin "
wyoming,1999,MWC,0.613,82.8,"Aaron Abrams",22,0,0,0.302,0.429,0.056,0.667,1.5,0.5,0.2,0,0,2.1,"Steve McClain "
idaho-state,1999,"Big Sky",0.296,70.1,"Aaron Bradley",7,0,0,0.222,0.375,0.1,0.667,1.1,0.4,0.1,0,0,1.6,"Doug Oliver "
tennessee-state,1999,OVC,0.241,67.7,"Aaron Brochman",17,0,0,0.407,0.407,0,0.739,3.6,0.3,0.2,0.4,0,3.6,"Frankie Allen "
new-mexico-state,1999,"Big West",0.688,70.8,"Aaron Brodt",32,0,0,0.479,0.481,0,0.48,6.1,0.8,0.7,0.4,0,7.1,"Lou Henson "
delaware-state,1999,MEAC,0.214,62.8,"Aaron Chambliss",8,0,0,0.333,0.333,0,0,0.1,0.3,0.1,0,0,0.3,"Tony Sheals "
north-carolina-greensboro,1999,Southern,0.536,71.7,"Aaron Chavis",28,0,0,0.523,0.523,0,0.485,3.3,0.8,0.4,0.5,0,3.9,"Fran McCaffery "
drake,1999,MVC,0.379,62.2,"Aaron Deeter",29,0,0,0.509,0.526,0.406,0.631,4.7,1,0.7,0.3,0,10.1,"Kurt Kanaskie "
virginia-military-institute,1999,Southern,0.207,71.2,"Aaron Demory",29,0,0,0.52,0.548,0.333,0.593,5.7,1.9,2.1,0.7,0,12.2,"Bart Bellairs "
texas-state,1999,Southland,0.414,68.6,"Aaron Flick",13,0,0,0.375,0.375,0,0.333,0.6,0.1,0.1,0,0,0.5,"Mike Miller "
mount-st-marys,1999,NEC,0.31,64.9,"Aaron Herbert",28,0,0,0.363,0.416,0.234,0.8,2,2.2,0.9,0.1,0,6.1,"Jim Phelan "
texas-am,1999,"Big 12",0.286,65.2,"Aaron Jack",27,0,0,0.625,0.625,0,0.584,6.5,0.8,0.6,0.2,0,8.2,"Melvin Watkins "
northwestern,1999,"Big Ten",0.167,51.5,"Aaron Jennings",29,13,19.7,0.458,0.462,0,0.722,3.6,0.5,0.4,0.5,1.3,6.1,"Kevin ONeill "
green-bay,1999,"MW Coll",0.467,56.6,"Aaron Jessup",30,0,0,0.522,0.528,0,0.426,2.2,1.1,0.4,0,0,4.1,"Mike Heideman "
duquesne,1999,A-10,0.31,69.3,"Aaron Lovelace",3,0,0,0.364,0.3,1,1,2,0.7,1.3,0,0,4.3,"Darelle Porter "
south-carolina,1999,SEC,0.469,68.4,"Aaron Lucas",28,0,0,0.372,0.44,0.288,0.69,2.5,4.4,1.1,0.2,0,7,"Eddie Fogler "
villanova,1999,"Big East",0.606,69.9,"Aaron Matthews",29,0,0,0.515,0.543,0.143,0.529,2.6,1,0.6,0.3,0,4.6,"Steve Lappas "
northern-iowa,1999,MVC,0.483,62,"Aaron Middendorf",29,0,0,0.361,0.358,0.364,0.623,3.4,1.5,0.8,0.3,0,5.6,"Sam Weaver "
