team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
central-connecticut-state,1991,ECC,0.25,73.5,"Al Williams",28,16,21.9,0.448,0.445,0.5,0.737,2.9,0.6,0.5,0.5,1.5,5.9,"Mark Adams "
brown,1991,Ivy,0.423,68.2,"Alan Cole",17,0,5.9,0.421,0.357,0.6,0.583,0.8,0.5,0.2,0.1,0.6,2.6,"Frank Dobbs "
indiana,1991,"Big Ten",0.794,83.4,"Alan Henderson",33,26,23.7,0.508,0.512,0.25,0.661,7.2,0.5,1,1.5,1,11.6,"Bob Knight "
maryland,1991,ACC,0.483,81,"Alan Rainge",9,0,3.2,0.455,0.455,0,0.667,0.3,0.1,0,0,0.3,1.6,"Gary Williams "
duquesne,1991,A-10,0.464,78,"Alan Watkins",28,0,0,0.5,0.508,0.167,0.639,5.2,1.5,0.8,0.6,0,10.5,"John Carroll "
texas,1991,SWC,0.657,90.7,"Albert Burditt",35,0,0,0.559,0.559,0,0.671,5.8,0.8,1.6,2.1,0,6.9,"Tommy Penders "
south-alabama,1991,"Sun Belt",0.5,86.1,"Albert Garnett",28,10,17.1,0.402,0.417,0.25,0.787,2.2,1.9,0.6,0,1.6,5.2,"Ronnie Arrow "
central-florida,1991,"Sun Belt",0.357,75.3,"Albert Legette",27,14,21.2,0.451,0.454,0.444,0.681,2.8,1.8,0.6,0.2,1.9,8.4,"Joe Dean "
texas-christian,1991,SWC,0.676,72.4,"Albert Thomas",34,0,0,0.404,0.404,0.404,0.65,2.3,1.5,1.4,0.1,0,10.1,"Moe Iba "
texas-san-antonio,1991,Southland,0.724,80.5,"Albert Tilman",23,5,7.9,0.538,0.538,0,0.6,1,0.4,0.1,0,0.4,0.7,"Stu Starner "
drake,1991,MVC,0.222,59.3,"Aleksandar Surla",26,14,21.3,0.351,0.368,0.316,0.457,1.6,2.8,1.5,0,2.8,2.4,"Rudy Washington "
southeast-missouri-state,1991,OVC,0.429,73.9,"Alex Beason",25,0,20.5,0.489,0.489,0,0.602,4.8,0.6,0.6,1.3,1.8,11.8,"Ron Shumate "
monmouth,1991,NEC,0.69,64.5,"Alex Blackwell",28,0,37.5,0.495,0.503,0.286,0.772,8.3,1.8,1,0.6,0,18.4,"Wayne Szoke "
delaware,1991,NAC,0.871,81.3,"Alex Coles",31,30,28,0.473,0.506,0.338,0.65,7.3,1,1.1,1.2,2.4,14.3,"Steve Steinwedel "
ohio-state,1991,"Big Ten",0.813,80.6,"Alex Davis",29,0,8.5,0.463,0.467,0.455,1,1,1,0.6,0,0.6,3.1,"Randy Ayers "
dartmouth,1991,Ivy,0.385,57,"Alex Gayer",26,24,29.2,0.479,0.484,0.333,0.625,2,1.3,1.3,0.3,1.7,7.6,"Dave Faucher "
baylor,1991,SWC,0.464,72.8,"Alex Holcombe",27,26,19.2,0.6,0.6,0,0.583,4.6,0.4,0.4,0.9,1.3,7.6,"Gene Iba "
temple,1991,A-10,0.567,70.5,"Alex Linnen",6,0,2.2,0,0,0,0.5,0.2,0,0,0,0,0.2,"John Chaney "
