team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
davidson,2009,Southern,0.516,72.3,"A.J. Atkinson",5,0,3,0,0,0,0,0.6,0,0,0,0,0,"Bob McKillop "
wyoming,2009,MWC,0.323,70.6,"A.J. Davis",22,19,20.6,0.429,0.5,0.107,0.783,2.5,0.7,1.7,0.1,2.3,10,"Heath Schroyer "
jacksonville,2009,A-Sun,0.606,69.8,"A.J. Garden",3,0,1.3,0,0,0,0,0.3,0,0,0,0,0,"Cliff Warren "
new-mexico,2009,MWC,0.857,75.9,"A.J. Hardeman",35,35,23,0.532,0.532,0,0.474,5.5,0.3,0.7,1.3,0.9,7,"Steve Alford "
appalachian-state,2009,Southern,0.649,74.8,"A.J. Highsmith",23,1,4,0.364,0,0.364,1,0.5,0.1,0,0,0.2,1.1,"Buzz Peterson "
rice,2009,CUSA,0.258,64,"A.J. Holland",26,0,12.1,0.25,0.227,0.269,0.643,1,1.4,0.7,0.1,1.1,1.5,"Ben Braun "
vanderbilt,2009,SEC,0.727,76.9,"A.J. Ogilvy",33,28,23.2,0.509,0.509,0,0.73,6.2,0.9,1,1.5,1.9,13.4,"Kevin Stallings "
saint-josephs,2009,A-10,0.355,69.1,"A.J. Rogers",10,0,3.1,1,1,0,0.25,0.6,0,0.1,0,0.3,0.6,"Phil Martelli "
central-florida,2009,CUSA,0.469,66.7,"A.J. Rompza",31,31,31.5,0.404,0.476,0.313,0.695,2.6,4.6,2.6,0,2.1,8.6,"Kirk Speraw "
western-kentucky,2009,"Sun Belt",0.618,71.2,"A.J. Slaughter",34,34,36.5,0.416,0.473,0.359,0.827,3.2,4.3,1.6,0.1,2.7,17.5,"Ken McDonald "
stetson,2009,A-Sun,0.241,60.1,"A.J. Smith",28,27,32.1,0.385,0.417,0.345,0.743,2.5,2,0.9,0.1,3.5,14.9,"Derek Waugh "
alabama-state,2009,SWAC,0.516,64.5,"A.J. Spencer",28,17,18.5,0.344,0.422,0.125,0.7,1.6,3.5,0.8,0.1,1.8,2.8,"Lewis Jackson "
central-florida,2009,CUSA,0.469,66.7,"A.J. Tyler",32,32,26.9,0.484,0.522,0.115,0.714,5,0.8,0.7,0.3,1.6,10.3,"Kirk Speraw "
