team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
buffalo,2017,MAC,0.75,84.6,"Jeremy Harris",36,36,33.3,0.471,0.526,0.418,0.787,5.9,2.1,1,0.7,1.3,15.5,"Nate Oats "
san-diego-state,2017,MWC,0.667,77.1,"Jeremy Hemsley",32,7,21.8,0.431,0.55,0.266,0.613,1.7,2.1,0.7,0.2,1.7,7.3,"Brian Dutcher "
milwaukee,2017,Horizon,0.485,68.5,"Jeremy Johnson",18,10,19.2,0.365,0.545,0.27,0.5,2.4,0.8,0.6,0.3,0.4,5,"Pat Baldwin "
gonzaga,2017,WCC,0.865,83.5,"Jeremy Jones",36,0,6.5,0.576,0.654,0.286,0.677,1.3,0.2,0.3,0.2,0.3,1.7,"Mark Few "
northeastern,2017,CAA,0.697,74.9,"Jeremy Miller",28,0,8.6,0.481,0.656,0.2,0.739,1.9,0.4,0.2,0.2,0.4,2.5,"Bill Coen "
texas,2017,"Big 12",0.559,72.1,"Jericho Sims",34,11,18.5,0.607,0.612,0,0.426,3.9,0.2,0.3,0.5,0.8,5,"Shaka Smart "
college-of-charleston,2017,CAA,0.765,74.6,"Jermaine Blackmon Jr.",3,0,1,0,0,0,0,0,0,0,0,0,0,"Earl Grant "
canisius,2017,MAAC,0.636,76.3,"Jermaine Crumpton",33,33,32.2,0.481,0.566,0.32,0.763,5.4,1.5,0.7,0.5,1.8,17.1,"Reggie Witherspoon "
detroit-mercy,2017,Horizon,0.25,78.6,"Jermaine Jackson Jr.",30,24,29.8,0.339,0.402,0.296,0.851,3,2.7,1.1,0.1,1.8,10.5,"Bacari Alexander "
east-tennessee-state,2017,Southern,0.735,75.2,"Jermaine Long",34,29,20.5,0.333,0.5,0.247,0.818,2.2,2.6,1,0.1,1.6,3.6,"Steve Forbes "
hampton,2017,MEAC,0.529,79.5,"Jermaine Marrow",34,33,34.6,0.398,0.431,0.295,0.797,5,5.4,1.3,0,3.4,19.1,"Edward Joyner "
villanova,2017,"Big East",0.9,86.6,"Jermaine Samuels",25,0,6.1,0.25,0.333,0.188,0.625,1.2,0.3,0,0.1,0.5,1.1,"Jay Wright "
winthrop,2017,"Big South",0.613,79.5,"Jermaine Ukaegbu",29,7,12.1,0.643,0.643,0,0.463,3.4,0.5,0.2,0.7,0.8,2.5,"Pat Kelsey "
tennessee-martin,2017,OVC,0.323,68.9,"Jerome Davis",7,0,2.9,0.5,0.5,0,0.75,0.6,0.1,0,0,0.3,1,"Anthony Stewart "
