team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
virginia-tech,2005,ACC,0.467,68.7,"A.D. Vassallo",30,10,16.6,0.435,0.539,0.351,0.781,2.5,0.9,0.5,0.2,0.9,6.9,"Seth Greenberg "
texas,2005,"Big 12",0.811,75.2,"A.J. Abrams",37,1,21.2,0.401,0.422,0.39,0.878,1.5,3,0.7,0,1.6,6.4,"Rick Barnes "
butler,2005,Horizon,0.606,68.3,"A.J. Graves",33,33,32.4,0.402,0.43,0.374,0.819,2.3,2.4,1.3,0,1.6,13.4,"Todd Lickliter "
st-bonaventure,2005,A-10,0.296,68.1,"A.J. Hawkins",27,10,21.9,0.456,0.493,0,0.49,2.5,1.4,0.6,0.3,1.1,6.3,"Anthony Solomon "
appalachian-state,2005,Southern,0.467,70,"A.J. Highsmith",8,0,4,0.375,0.8,0.182,0.5,0.6,0.3,0,0,0.5,1.9,"Houston Fancher "
robert-morris,2005,NEC,0.517,73.7,"A.J. Jackson",28,28,33.9,0.457,0.469,0.413,0.721,9.3,1.3,0.8,0.9,2.5,17,"Mark Schmidt "
mercer,2005,A-Sun,0.321,73.5,"A.J. Martin",9,0,5.9,0.833,1,0,0.5,1,0.4,0,0.1,0.1,1.3,"Mark Slonaker "
indiana,2005,"Big Ten",0.613,72,"A.J. Ratliff",28,13,16.9,0.32,0.325,0.317,0.75,1.9,0.5,0.3,0.5,0.4,3.5,"Mike Davis "
oregon,2005,Pac-10,0.455,69.5,"Aaron Brooks",32,31,32.4,0.406,0.47,0.336,0.807,3.4,4.4,1.1,0.2,2.4,10.8,"Ernie Kent "
baylor,2005,"Big 12",0.235,63.2,"Aaron Bruce",17,17,31.1,0.373,0.333,0.407,0.806,3.5,3.2,0.4,0.1,2.7,13.1,"Scott Drew "
hartford,2005,AEC,0.464,67.5,"Aaron Cook",28,28,34.9,0.419,0.458,0.39,0.766,4.2,2.5,1.6,0.1,2.1,16.4,"Larry Harrison "
northeastern,2005,CAA,0.633,75.2,"Aaron Davis",30,29,29.7,0.459,0.602,0.344,0.783,3.7,0.8,1.3,0.1,1,9.7,"Ron Everhart "
bethune-cookman,2005,MEAC,0.5,65.4,"Aaron Devoe",4,0,2.5,0,0,0,0,0.5,0,0,0,0,0,"Clifford Reed "
tennessee-martin,2005,OVC,0.464,72.9,"Aaron Ferrell",28,0,14.9,0.429,0.652,0.231,0.704,1.6,1.1,0.7,0,0.8,2.4,"Bret Campbell "
california-irvine,2005,"Big West",0.552,71.3,"Aaron Fitzgerald",29,28,30.7,0.456,0.493,0.395,0.768,2.9,6.6,1.3,0.2,3.6,11.7,"Pat Douglass "
delaware-state,2005,MEAC,0.6,57.5,"Aaron Fleetwood",35,27,22.4,0.457,0.51,0.289,0.467,3,0.8,0.9,1.3,0.9,5.9,"Greg Jackson "
pittsburgh,2005,"Big East",0.758,72.5,"Aaron Gray",33,33,27.9,0.526,0.526,0,0.634,10.5,1.8,0.6,1.5,2.7,13.9,"Jamie Dixon "
duquesne,2005,A-10,0.111,66.1,"Aaron Jackson",27,21,31,0.419,0.45,0.347,0.8,3.2,3.6,1.1,0.1,2.1,6.8,"Danny Nee "
brown,2005,Ivy,0.37,59.7,"Aaron Jimenez",4,1,5.8,0.5,0.5,0,1,0.3,0,0,0,0.5,1.5,"Glen Miller "
long-beach-state,2005,"Big West",0.6,83.3,"Aaron Nixon",29,26,29.3,0.436,0.509,0.298,0.652,4.8,2.8,1.1,0.4,2.8,14.7,"Larry Reynolds "
morgan-state,2005,MEAC,0.133,54.8,"Aaron OReggio",14,0,8.4,0.154,0.154,0,0.25,1.4,0.1,0,0,0.6,0.4,"Butch Beard "
