id,team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
2654,florida,1981,SEC,0.185,68.3,Rodney Williams,26,0,16.1,0.4,0,0,0.762,2,0.5,0.3,0.1,1.2,2.8,Norm Sloan 
2655,howard,1981,MEAC,0.607,66.3,Rodney Wright,28,0,0,0.398,0,0,0.69,1.3,0,0,0,0,7.6,A.B. Williamson 
2656,oregon,1981,Pac-10,0.333,74.4,Rodnie Taylor,27,4,13.4,0.465,0,0,0.692,3.3,0.6,0.3,0.2,1.6,4,Jim Haney 
2657,arkansas-little-rock,1981,A-Sun,0.704,72.6,Roger Brown,9,0,2.4,0,0,0,0.857,0.2,0.1,0,0,0.6,0.7,Ron Kestenbaum 
2658,southeastern-louisiana,1981,Ind,0.593,68.2,Roger Cheeks,27,0,0,0.377,0,0,0.783,0.7,0.8,0,0,0,2.4,Ken Fortenberry 
2659,stanford,1981,Pac-10,0.259,66.9,Roger Lemons,22,13,21.9,0.488,0,0,0.587,2.1,1,0.5,0,0,6.6,Dick DiBiaso 
2660,western-illinois,1981,Ind,0.519,79.4,Roger Nickell,0,0,0,0,0,0,0,0,0,0,0,0,0,Jack Margenthaler 
2661,mississippi,1981,SEC,0.6,59.5,Roger Stieg,30,0,32,0.632,0,0,0.71,5,0.9,1.1,0.5,0,8.3,Bob Weltlich 
2662,northeastern,1981,ECACN,0.767,69.8,Roland Braswell,25,0,7.4,0.431,0,0,0.647,1.8,0.2,0,0,0,2.2,Jim Calhoun 
2663,jackson-state,1981,SWAC,0.679,70.6,Roland Carter,27,3,19.8,0.577,0,0,0.639,2,3,1.9,0.2,1.8,6.1,Paul Covington 
2664,rhode-island,1981,EAA,0.37,68.7,Roland Houston,26,25,35,0.549,0,0,0.712,10,2.7,1.1,1,2.6,12.8,Claude English 
2665,alcorn-state,1981,SWAC,0.733,80.3,Roland Milburn,30,4,20,0.449,0,0,0.609,5.6,0.7,0.6,0.2,1.5,9,Davey Whitney 
2666,stetson,1981,Ind,0.444,70.5,Roland Rucker,17,0,0,0.49,0,0,0.563,3.6,2.1,1.6,0.1,0,12.4,Glenn Wilkes 
2667,virginia-commonwealth,1981,Sun Belt,0.607,67.3,Rolando Lamb,28,28,28.8,0.45,0,0,0.722,2,4.5,1.8,0.3,2.8,6.3,J.D. Barnett 
2668,idaho-state,1981,Big Sky,0.538,69.3,Ron Akins,26,17,20.4,0.424,0,0,0.394,5.6,0.5,0.5,0.6,1.3,3.3,Lynn Archibald 
2669,nicholls-state,1981,Ind,0.231,64.6,Ron Baillargeon,26,0,0,0.432,0,0,0.531,3,0,0,0,0,3.6,Gordon Stauffer 
2670,georgetown,1981,Big East,0.811,67.6,Ron Blaylock,22,0,4.6,0.361,0,0,0.417,0.9,0.4,0.2,0,0.3,1.4,John Thompson 
2671,boston-college,1981,Big East,0.688,77.8,Ron Crevier,17,1,5.8,0.656,0,0,0.455,1.8,0.1,0.2,0.5,0.6,3.1,Tom Davis 
2672,campbell,1981,Ind,0.407,61.4,Ron Curtis,27,0,0,0.531,0,0,0.678,7.4,0,0,0,0,14.4,Danny Roberts 
2673,virginia-tech,1981,Metro,0.645,78.6,Ron Everhart,11,0,4.8,0.478,0,0,0.667,1.3,0.6,0.5,0,0.5,3.1,Charles Moir 
2674,iowa-state,1981,Big 8,0.37,67.4,Ron Falenschek,24,13,20.9,0.511,0,0,0.647,5.5,0.4,0.7,0.7,1.8,8.5,Johnny Orr 
2675,iowa-state,1981,Big 8,0.37,67.4,Ron Harris,27,27,34.8,0.454,0,0,0.747,4.9,2.1,1.4,0.1,2.8,13.3,Johnny Orr 
2676,valparaiso,1981,Ind,0.333,67.5,Ron Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,Tom Smith 
2677,northern-illinois,1981,MAC,0.533,67.8,Ron Lindfors,29,0,0,0.548,0,0,0.652,3.8,0.5,0,0,0,6.7,John McDougal 
2678,kansas,1981,Big 8,0.481,66.3,Ron Mchenry,2,0,2.5,0,0,0,0,1,0,0,0,0,0,Ted Owens 
2679,rutgers,1981,EAA,0.667,59.2,Ron Moses,12,0,0,0.348,0,0,0.3,1.6,0.3,0,0.1,0,1.6,Tom Young 
2680,syracuse,1981,Big East,0.552,79.2,Ron Payton,29,0,0,0.552,0,0,0.69,4.7,0.6,0,0,0,10.7,Jim Boeheim 
2681,columbia,1981,Ivy,0.615,55.4,Ron Petrunoff,1,0,3,0,0,0,0.5,2,1,0,0,0,1,Buddy Mahar 
2682,niagara,1981,ECACN,0.655,76.5,Ron Purdy,13,0,4.5,0.333,0,0,0.714,0.5,0.2,0.2,0.1,0.6,1,Pete Lonergan 
2683,notre-dame,1981,Ind,0.37,59.6,Ron Rowan,23,0,16.8,0.456,0,0,0.738,2,0.4,0.3,0,0,5.9,Digger Phelps 
2684,boise-state,1981,Big Sky,0.462,74.5,Ron Schimbke,8,0,2,0.333,0,0,0.833,0.1,0,0.1,0,0.1,0.9,Dave Leach 
2685,st-johns-ny,1981,Big East,0.7,70.1,Ron Stewart,23,0,5.8,0.519,0,0,0.533,0.8,0.1,0.1,0.1,0.3,1.6,Lou Carnesecca 
2686,north-carolina-at,1981,MEAC,0.679,70.1,Ron Stinchcomb,28,0,0,0.295,0,0,0.797,0.7,0.6,0.5,0,1.4,3.3,Don Corbett 
2687,ohio-state,1981,Big Ten,0.677,62.2,Ron Stokes,31,15,23.8,0.419,0,0,0.755,1.3,2.9,0.9,0.2,1.8,6.5,Eldon Miller 
2688,green-bay,1981,Ind,0.519,57.2,Ron Voelker,19,0,7.6,0.385,0,0,0.636,1.6,0.2,0,0.2,0,1.3,Dave Buss 
2689,massachusetts,1981,EAA,0.259,60.5,Ron Washington,4,0,2.5,0.25,0,0,0.667,0.3,0,0,0,0,1,Tom McLaughlin 
2690,george-washington,1981,EAA,0.481,62.9,Ron White,25,0,8.9,0.4,0,0,0.667,0.3,0.4,0.2,0.1,0,2.2,Gerry Gimelstob 
2691,utica,1981,Ind,0.154,57.2,Ron Whitehead,23,0,0,0.402,0,0,0.625,4.7,0,0,0,0,10.1,Larry Costello 
2692,massachusetts,1981,EAA,0.259,60.5,Ron Young,27,20,27.1,0.383,0,0,0.743,1.5,0.9,0,0,0,5.9,Tom McLaughlin 
2693,samford,1981,A-Sun,0.423,67.9,Ronald Radford,26,26,0,0.548,0,0,0.705,7.5,0.8,0,0,0,14.4,Mike Hanks 
2694,florida-state,1981,Metro,0.393,73.9,Ronald Watson,26,0,9.4,0.293,0,0,0.846,0.6,0.8,0.4,0,0,1.3,Joe Williams 
2695,tulsa,1981,MVC,0.8,79.5,Rondie Turner,10,0,1.9,0.5,0,0,0.571,0.2,0.3,0,0,0.4,0.8,Nolan Richardson 
2696,georgia-state,1981,Ind,0.148,61.7,Rondy Tucker,18,15,30.1,0.462,0,0,0.774,6.9,0.3,0.4,0.3,2.4,12.7,Jim Jarrett 
2697,baylor,1981,SWC,0.607,64.4,Ronnie Blake,13,0,38.8,0.408,0,0,0.765,1,2.1,0.6,0,1.5,4.1,Jim Haller 
2698,tennessee-state,1981,Ind,0.52,69.7,Ronnie Cage,25,0,0,0.5,0,0,0.705,3.1,0,0,0,0,13,Edward Martin 
