id,team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
1,memphis,1981,Metro,0.828,75.3,A. Maceo Battle,11,0,6.7,0.429,0,0,0.571,2,0.4,0.1,0.8,1.4,1.5,Dana Kirk 
2,oregon-state,1981,Pac-10,0.833,69.6,A.C. Green,30,0,29.8,0.615,0,0,0.61,5.3,1.1,0.9,0.2,2.4,8.6,Ralph Miller 
3,alcorn-state,1981,SWAC,0.733,80.3,Aaron Brandon,28,26,18.5,0.467,0,0,0.769,2.3,1,0.4,0.3,1.2,6.4,Davey Whitney 
4,east-tennessee-state,1981,Southern,0.464,80.6,Aaron Douglas,28,0,0,0.494,0,0,0.763,2.8,0,0,0,0,13.6,Jim Hallahan 
5,washington-state,1981,Pac-10,0.533,58.6,Aaron Haskins,30,0,25.8,0.507,0,0,0.66,5.7,0.6,0.4,0.2,1.6,6.2,George Raveling 
6,dartmouth,1981,Ivy,0.269,55.3,Aaron Hill,13,0,0,0.545,0,0,0.313,2.2,0,0.4,0,0,2.2,Tim Cohane 
7,villanova,1981,Big East,0.75,73.7,Aaron Howard,32,0,0,0.512,0,0,0.741,3.3,1.6,0,0,0,7.9,Rollie Massimino 
8,california-santa-barbara,1981,PCAA,0.385,67.6,Aaron McCarthy,24,0,13.5,0.389,0,0,0.692,0.5,1.9,0.4,0,1.3,2.1,Ed DeLacy 
9,memphis,1981,Metro,0.828,75.3,Aaron Price,10,0,3.9,0.125,0,0,0.667,1.2,0.1,0.2,0.3,0.6,0.8,Dana Kirk 
10,georgia-southern,1981,A-Sun,0.519,62.3,Aaron Rucker,26,0,0,0.495,0,0,0.444,1.7,0,0,0,0,4.2,Frank Kerns 
11,west-virginia,1981,EAA,0.871,74.2,Adam Powell,14,0,3.4,0.417,0,0,0.429,0.7,0.3,0,0.1,0.4,1.1,Gale Catlett 
12,maryland,1981,ACC,0.552,61.3,Adrian Branch,29,29,33.7,0.474,0,0,0.765,4.3,1.4,0.5,0.4,3,15.2,Lefty Driesell 
13,austin-peay,1981,OVC,0.231,59.2,Al Bellenfant,16,0,0,0.4,0,0,0.615,1.4,0.8,0.1,0,0.8,2.3,Ron Bargatze 
14,citadel,1981,Southern,0.5,67.9,Al Ford,4,0,0,0.5,0,0,0.333,0.3,0,0,0,0,0.8,Les Robinson 
15,east-carolina,1981,ECACS,0.37,64,Al Mack,27,11,18.6,0.452,0,0,0.698,3.1,0.6,0.3,0.6,1.4,5.6,Dave Odom 
16,california-santa-barbara,1981,PCAA,0.385,67.6,Al Marquetti,1,0,1,0,0,0,0,0,0,0,0,0,0,Ed DeLacy 
17,vanderbilt,1981,SEC,0.536,67,Al McKinney,27,0,32,0.388,0,0,0.659,2.1,3.2,1.1,0.1,2.4,5.6,C.M. Newton 
18,vanderbilt,1981,SEC,0.536,67,Al Miller,27,0,20,0.385,0,0,0.638,3.5,1.4,0.4,0,2,6.5,C.M. Newton 
19,bowling-green-state,1981,MAC,0.621,74.2,Al Thomas,17,1,0,0.357,0,0,0.8,0.4,1.2,0.2,0.1,0.5,1.1,John Weinert 
20,virginia-tech,1981,Metro,0.645,78.6,Al Young,30,9,14.9,0.524,0,0,0.553,1.7,2.6,0.6,0.1,1.5,3.6,Charles Moir 
21,grambling,1981,SWAC,0.414,69.4,Alan Blackman,14,0,13.1,0.263,0,0,0.455,0.3,0.1,0.1,0,0.4,1.4,Fred Hobdy 
22,louisiana-tech,1981,Southland,0.407,61.9,Alan Davis,27,0,0,0.452,0,0,0.721,1.9,0,0,0,0,4.6,Andy Russo 
23,new-mexico,1981,WAC,0.5,70.6,Alan Dolensky,28,6,21.4,0.481,0,0,0.779,3.6,1.4,1.3,0,1.8,6.6,Gary Colson 
24,texas-pan-american,1981,Ind,0.2,71.2,Alan Martin,21,0,12.8,0.406,0,0,0.857,2.3,0.7,0.3,0,1.3,2.8,Bill White 
25,north-carolina-wilmington,1981,Ind,0.481,61.9,Alan Salzano,27,0,0,0.293,0,0,0.778,0.7,1,0.4,0,1,2.9,Mel Gibson 
26,oregon-state,1981,Pac-10,0.833,69.6,Alan Tait,12,0,4.3,0.25,0,0,0.286,0.5,0.1,0.1,0,0.3,0.5,Ralph Miller 
27,delaware-state,1981,MEAC,0.5,70.2,Albert Anderson,25,0,0,0.434,0,0,0.644,4,0,0,0,0,7.2,Ajac Triplett 
28,detroit-mercy,1981,MW City,0.37,68.4,Albert Blakey,27,0,17.3,0.478,0,0,0.765,1.1,0.6,0.3,0.1,0.9,5.3,Willie McCarter 
29,la-salle,1981,ECC,0.552,71.5,Albert Butts,27,0,0,0.42,0,0,0.616,8.8,0.4,0.8,0.7,0,9,Lefty Ervin 
30,texas-arlington,1981,Southland,0.571,80.7,Albert Culton,28,28,33.9,0.643,0,0,0.669,9.6,1.1,1.5,0.6,2.6,18,Bob Snake LeGrand 
31,alcorn-state,1981,SWAC,0.733,80.3,Albert Irving,30,30,30.9,0.545,0,0,0.716,6.7,1.9,1.1,0.9,2.4,17.1,Davey Whitney 
32,florida-am,1981,MEAC,0.37,64.2,Alex Bunion,27,0,0,0.401,0,0,0.606,1.7,0,0,0,0,6.2,Josh Giles 
33,brown,1981,Ivy,0.192,68.2,Alex Bynum,26,16,31,0.411,0,0,0.732,2.4,4,2.4,0,2.7,8.2,Mike Cingiser 
34,western-kentucky,1981,OVC,0.655,67.4,Alex Mosley,12,1,2.6,0.667,0,0,0.8,0.8,0.1,0,0,0.3,1,Clem Haskins 
35,samford,1981,A-Sun,0.423,67.9,Alex Payne,15,0,0,0.25,0,0,1,0.5,0.1,0,0,0,0.7,Mike Hanks 
36,creighton,1981,MVC,0.259,63.6,Alex Stivrins,25,23,30.1,0.443,0,0,0.358,7.5,3,1.3,0.6,3.6,7.9,Willie Reed 
37,louisiana-lafayette,1981,Southland,0.75,76.9,Alford Turner,32,32,33.8,0.452,0,0,0.755,3.1,3.7,2.1,0.1,2.3,17.6,Bobby Paschal 
38,mississippi-valley-state,1981,SWAC,0.231,70.6,Alfred Harmon,14,0,0,0.296,0,0,0.4,0.2,0,0,0,0,0,Pop Gaines 
39,loyola-il,1981,MW City,0.586,78.8,Alfredrick Hughes,29,27,35.1,0.401,0,0,0.642,6.1,0.9,0.6,1,2.8,17.3,Gene Sullivan 
40,maryland-eastern-shore,1981,MEAC,0.231,63.3,Allen Davenport,26,0,0,0.456,0,0,0.75,7.8,0,0,0,0,11.5,Kirkland Hall 
41,eastern-kentucky,1981,OVC,0.192,62.2,Allen Feldhaus,24,0,13.8,0.364,0,0,0.458,1,1.8,0.1,0,1.8,2.5,Max Good 
42,lafayette,1981,ECC,0.444,62.8,Allen Goetz,24,17,27.5,0.448,0,0,0.667,4.8,0.5,0.5,0.2,1.6,7.8,Will Rackley 
43,northern-illinois,1981,MAC,0.533,67.8,Allen Rayhorn,30,0,0,0.575,0,0,0.745,9,1.1,0,0,0,15.3,John McDougal 
44,duke,1981,ACC,0.37,64,Allen Williams,18,6,14.2,0.466,0,0,0.679,1.8,0.4,0.1,0.6,1,4.1,Mike Krzyzewski 
45,louisiana-lafayette,1981,Southland,0.75,76.9,Alonza Allen,32,0,17.8,0.472,0,0,0.56,3.1,0.8,0.9,0.7,1.7,9.7,Bobby Paschal 
46,morehead-state,1981,OVC,0.63,71.4,Alonzo Linner,19,0,7.1,0.611,0,0,0.735,1.2,0.3,0.3,0.1,0.4,3.6,Wayne Martin 
47,texas-southern,1981,SWAC,0.724,83.8,Alton Jefferson,29,0,0,0.566,0,0,0.692,3.9,2.2,1.3,0.2,0,12.1,Robert Moreland 
48,temple,1981,ECC,0.704,68.1,Alton McCullough,27,0,0,0.532,0,0,0.734,6.6,0.7,0.7,0,0,13,Don Casey 
49,tennessee-state,1981,Ind,0.52,69.7,Alvin Blount,25,0,0,0.456,0,0,0.862,1.8,0,0,0,0,7.2,Edward Martin 
50,louisiana-lafayette,1981,Southland,0.75,76.9,Alvin Conner,5,0,4.2,0.25,0,0,1,1.6,0.2,0.4,0,0.4,2.8,Bobby Paschal 
51,austin-peay,1981,OVC,0.231,59.2,Alvin Ingle,23,0,0,0.391,0,0,0.579,1.7,0.4,0.3,0,0.9,2.7,Ron Bargatze 
52,auburn,1981,SEC,0.5,69.1,Alvin Mumphord,28,27,27.4,0.382,0,0,0.708,2.6,2.1,1,0.1,1.4,8.3,Sonny Smith 
53,arkansas,1981,SWC,0.793,70.8,Alvin Robertson,28,0,17.7,0.528,0,0,0.603,2.2,1.8,1.3,0.1,1.6,7.3,Eddie Sutton 
54,washington,1981,Pac-10,0.655,67,Alvin Vaughn,29,0,21.9,0.448,0,0,0.761,1.3,2.2,1.1,0,1.8,4.8,Marv Harshman 
55,wake-forest,1981,ACC,0.7,67.8,Alvis Rogers,5,3,20.2,0.477,0,0,1,2.8,1.2,0.8,0,1.4,9.6,Carl Tacy 
56,american,1981,ECC,0.7,75.2,Andre Adams,30,20,20.8,0.464,0,0,0.692,3.1,0.2,0.4,0,1,4.4,Gary Williams 
57,loyola-il,1981,MW City,0.586,78.8,Andre Battle,24,16,22.6,0.449,0,0,0.5,2.5,1.2,0.7,0.3,1.3,7.7,Gene Sullivan 
58,saint-louis,1981,Metro,0.222,65.4,Andre Craig,27,0,28.8,0.465,0,0,0.815,6.1,0.9,0,0,1.6,9.9,Ron Ekker 
59,louisiana-tech,1981,Southland,0.407,61.9,Andre Ewing,21,0,0,0.432,0,0,0.534,2.2,0,0,0,0,6.6,Andy Russo 
60,george-mason,1981,ECACS,0.481,69,Andre Gaddy,27,26,35,0.571,0,0,0.731,7.7,1.1,0.3,1.2,2.9,15.7,Joe Harrington 
61,northwestern,1981,Big Ten,0.296,59.6,Andre Goode,27,20,29.4,0.41,0,0,0.688,5.1,0.7,0.5,0,0,7.7,Rich Falk 
62,syracuse,1981,Big East,0.552,79.2,Andre Hawkins,29,0,0,0.625,0,0,0.683,3.9,0.4,0,0,0,5.6,Jim Boeheim 
63,texas-arlington,1981,Southland,0.571,80.7,Andre Langford,23,0,15,0.466,0,0,0.663,2,1.3,1.1,0,1.2,7.6,Bob Snake LeGrand 
64,east-tennessee-state,1981,Southern,0.464,80.6,Andre Motley,27,0,0,0.546,0,0,0.545,8.7,0,0,0,0,13.2,Jim Hallahan 
65,pittsburgh,1981,EAA,0.667,68.8,Andre Williams,29,0,19.7,0.543,0,0,0.787,4.3,0.6,0.5,0.4,0,6.4,Roy Chipman 
66,new-orleans,1981,Ind,0.692,73.8,Andrew Corbin,11,0,3.3,0.875,0,0,0.5,0.4,0.5,0.3,0.1,0.6,1.5,Don Smith 
67,jacksonville,1981,Sun Belt,0.519,76.2,Andrew Hinton,27,4,15.7,0.44,0,0,0.594,1.7,2.5,0.4,0,1.4,3.4,Bob Wenzel 
68,texas-pan-american,1981,Ind,0.2,71.2,Andrew Lance,25,0,15.9,0.391,0,0,0.563,1.6,2,0.7,0.1,1,3.1,Bill White 
69,george-mason,1981,ECACS,0.481,69,Andy Bolden,27,25,32.7,0.498,0,0,0.813,2.3,2.7,1.1,0.2,3,15.4,Joe Harrington 
70,samford,1981,A-Sun,0.423,67.9,Andy Donnelly,26,20,0,0.444,0,0,0.604,5.1,0.5,0,0,0,6,Mike Hanks 
71,george-mason,1981,ECACS,0.481,69,Andy Felder,5,0,1.4,0.5,0,0,0,0.2,0,0,0,0.2,0.4,Joe Harrington 
72,dartmouth,1981,Ivy,0.269,55.3,Andy Gruninger,7,0,0,0.4,0,0,0.667,0.7,0,0.1,0,0,0.9,Tim Cohane 
73,richmond,1981,ECACS,0.621,65.3,Andy Heher,29,0,13.4,0.518,0,0,0.574,1.7,0.6,0.3,0.1,1,3.9,Dick Tarrant 
74,central-michigan,1981,MAC,0.385,68.1,Andy Kiss,5,0,0,1,0,0,0,0.2,0,0,0,0,0.4,Dick Parfitt 
75,st-bonaventure,1981,EAA,0.5,62.5,Andy Moore,26,2,15.6,0.476,0,0,0.765,1.9,0.5,0.3,0.1,0.9,6.2,Jim Satalin 
76,delaware-state,1981,MEAC,0.5,70.2,Andy Porter,4,0,0,0.667,0,0,0.2,0.3,0,0,0,0,1.3,Ajac Triplett 
77,pacific,1981,PCAA,0.259,66.4,Andy Rodgers,25,9,20.2,0.436,0,0,0.556,3.5,1,0.3,0.2,2.6,8.4,Dick Fichtner 
78,baylor,1981,SWC,0.607,64.4,Andy Sears,9,0,18.2,0.429,0,0,0.25,0.9,0.3,0.1,0.1,0.8,0.9,Jim Haller 
79,duquesne,1981,EAA,0.407,65.7,Andy Sisinni,26,10,14.5,0.346,0,0,0.571,0.7,1.5,0.6,0,1.4,2.2,Mike Rice 
80,minnesota,1981,Big Ten,0.793,68,Andy Thompson,13,0,4,0.433,0,0,0.75,1.4,0.3,0.2,0.2,0.3,2.2,Jim Dutcher 
81,xavier,1981,MW City,0.286,65.8,Andy Witte,4,0,2.5,1,0,0,0,0,0.3,0,0,0.8,0.5,Bob Staak 
82,northern-arizona,1981,Big Sky,0.231,61.5,Andy Woodring,26,16,23.7,0.417,0,0,0.681,4,0.4,0.9,0.3,1.2,5.5,Gene Visscher 
83,northern-arizona,1981,Big Sky,0.231,61.5,Angel Delgadillo,3,0,1.3,0,0,0,0,0,0,0,0,0,0,Gene Visscher 
84,pennsylvania,1981,Ivy,0.63,64.7,Angelo Reynolds,6,0,18,0.396,0,0,0.6,0.8,2.7,1,0.2,2,6.8,Bob Weinhauer 
85,utah,1981,WAC,0.393,64,Angelo Robinson,28,28,26.3,0.489,0,0,0.712,2.5,2.1,0.9,0,2.2,11,Jerry Pimm 
86,pennsylvania,1981,Ivy,0.63,64.7,Anthony Arnolie,25,0,7,0.5,0,0,0.765,0.4,0.9,0.5,0,0.7,2.3,Bob Weinhauer 
87,texas-el-paso,1981,WAC,0.714,62.6,Anthony Bailey,19,0,7.8,0.324,0,0,0.444,0.7,0.5,0.4,0.1,0.3,2.7,Don Haskins 
88,georgia-tech,1981,ACC,0.385,59.4,Anthony Byrd,26,4,22.5,0.567,0,0,0.761,2.1,0.9,0.8,0,1.3,9.8,Bobby Cremins 
89,portland,1981,WCAC,0.63,65.6,Anthony Davis,19,0,6.9,0.467,0,0,0.5,0.8,0.1,0.1,0,0.3,1,Jack Avina 
90,george-mason,1981,ECACS,0.481,69,Anthony Foreman,12,0,4.8,0.4,0,0,0.5,0.3,0.3,0.1,0,0.3,0.8,Joe Harrington 
91,seton-hall,1981,Big East,0.407,72.1,Anthony Gorman,7,0,2,0.25,0,0,0,0.1,0,0,0,0.1,0.3,Hoddy Mahon 
92,saint-peters,1981,MAAC,0.69,62.9,Anthony Green,22,0,14.2,0.479,0,0,0.778,2.3,0.7,0.5,0.9,1.3,4.5,Bob Dukiet 
93,kent-state,1981,MAC,0.385,67.3,Anthony Grier,26,0,19.7,0.468,0,0,0.767,1.7,3.3,1,0,0,7.3,Ed Douma 
94,xavier,1981,MW City,0.286,65.8,Anthony Hicks,28,28,38,0.453,0,0,0.774,3.3,4.3,2.1,0.1,3.9,20.4,Bob Staak 
95,maryland-eastern-shore,1981,MEAC,0.231,63.3,Anthony Hughes,7,0,0,0.308,0,0,0,1.1,0,0,0,0,1.1,Kirkland Hall 
96,wyoming,1981,WAC,0.767,62.8,Anthony Johnson,6,0,13.8,0.438,0,0,0,1.5,2.3,0.8,0,2.2,2.3,Jim Brandenburg 
97,georgetown,1981,Big East,0.811,67.6,Anthony Jones,37,1,17.4,0.493,0,0,0.603,2.8,0.8,1.1,0.2,1.3,6.7,John Thompson 
98,detroit-mercy,1981,MW City,0.37,68.4,Anthony Lee,14,10,21.2,0.541,0,0,0.72,2.9,0.5,0.4,1.3,1.3,7,Willie McCarter 
99,florida-am,1981,MEAC,0.37,64.2,Anthony Lightbourne,4,0,0,0.667,0,0,0.5,0.5,0,0,0,0,1.5,Josh Giles 
100,san-diego,1981,WCAC,0.423,63.8,Anthony Reuss,0,0,0,0,0,0,0,0,0,0,0,0,0,Jim Brovelli 
101,central-michigan,1981,MAC,0.385,68.1,Anthony Scott,13,0,0,0.509,0,0,0.684,4.5,1.2,0.8,0.2,0,9.3,Dick Parfitt 
102,wake-forest,1981,ACC,0.7,67.8,Anthony Teachey,30,6,26,0.478,0,0,0.775,6.1,1.2,0.8,1.6,0.9,6.5,Carl Tacy 
103,bradley,1981,MVC,0.722,69.3,Anthony Webster,29,0,6.5,0.5,0,0,0.273,1.2,0.2,0,0.1,0,1.6,Dick Versace 
104,illinois,1981,Big Ten,0.621,66,Anthony Welch,26,1,10,0.469,0,0,0.773,1.5,0.5,0.2,0.2,0.5,3,Lou Henson 
105,eastern-michigan,1981,MAC,0.556,67.1,Anthony White,27,0,32.7,0.44,0,0,0.796,4.7,2.3,1.4,0,0,9.1,Jim Boyce 
106,charleston-southern,1981,Ind,0.5,62.2,Anthony Woods,12,0,0,0.536,0,0,0.593,3,0,0,0,0,6.3,Phil Carter 
107,wichita-state,1981,MVC,0.793,76.9,Antoine Carr,28,25,28,0.566,0,0,0.791,7,1.6,0.6,1.9,2.1,16,Gene Smithson 
108,north-carolina-at,1981,MEAC,0.679,70.1,Antoine Collins,28,0,0,0.514,0,0,0.567,7.7,1.2,0.6,0.8,1.9,8.9,Don Corbett 
109,idaho,1981,Big Sky,0.9,71.3,Antwine Murchison,16,0,4.9,0.467,0,0,0.375,0.6,0.4,0.2,0,0.6,1.1,Don Monson 
110,detroit-mercy,1981,MW City,0.37,68.4,Aparicio Curry,4,0,2,0,0,0,0,0,0,0,0,0,0,Willie McCarter 
111,georgia-state,1981,Ind,0.148,61.7,Archie Booker,26,13,16,0.475,0,0,0.587,3.6,0.2,0.7,0.7,1,5.4,Jim Jarrett 
112,grambling,1981,SWAC,0.414,69.4,Archie Hall,5,0,3.6,0.667,0,0,1,0.2,0.2,0,0,1.2,1.2,Fred Hobdy 
113,south-alabama,1981,Sun Belt,0.429,72.4,Arndray Nicholson,27,14,28.3,0.431,0,0,0.69,5,1.4,0.7,0.4,1.4,10.1,Cliff Ellis 
114,northwestern,1981,Big Ten,0.296,59.6,Art Aaron,27,4,16.3,0.51,0,0,0.651,2.7,1,0.7,0.2,0,7,Rich Falk 
115,youngstown-state,1981,OVC,0.308,64,Art McCullough,26,26,37.3,0.471,0,0,0.803,3.2,1.7,0.7,0.1,2.8,17.3,Dom Rosselli 
116,wagner,1981,ECACM,0.154,67.2,Art Redmond,25,0,0,0.502,0,0,0.598,6.4,0,0,0,0,14.2,P.J. Carlesimo 
117,lamar,1981,Southland,0.759,70,Arthur Gray,29,0,12.1,0.526,0,0,0.763,1.4,0.5,0.4,0,0.8,4.4,Pat Foster 
118,texas-southern,1981,SWAC,0.724,83.8,Arthur Roby,21,0,0,0.538,0,0,0.71,2.2,0.3,0.4,0.1,0,5.1,Robert Moreland 
119,morehead-state,1981,OVC,0.63,71.4,Arthur Sullivan,27,0,10.7,0.453,0,0,0.667,1.6,0.3,0.6,0.1,0.7,4.4,Wayne Martin 
120,boston-university,1981,ECACN,0.679,73,Arturo Brown,28,28,31.9,0.505,0,0,0.655,7.9,0.8,0.8,0.1,1.8,14.7,Rick Pitino 
121,wagner,1981,ECACM,0.154,67.2,Arvie Powell,6,0,0,0.36,0,0,0.429,0.7,0,0,0,0,3.5,P.J. Carlesimo 
122,wichita-state,1981,MVC,0.793,76.9,Aubrey Sherrod,29,28,26.5,0.507,0,0,0.772,1.6,2.9,1.3,0.1,2.8,11,Gene Smithson 
123,detroit-mercy,1981,MW City,0.37,68.4,Audie Matthews,27,19,21.5,0.483,0,0,0.652,2.1,3.6,1.4,0.2,1.9,5.9,Willie McCarter 
124,jackson-state,1981,SWAC,0.679,70.6,Audie Norris,28,28,33.4,0.548,0,0,0.614,12.2,2.8,1.5,1.2,3.4,16.7,Paul Covington 
125,pennsylvania,1981,Ivy,0.63,64.7,Avery Rawlings,27,0,24,0.514,0,0,0.739,4.2,0.3,0.6,0.6,1.2,8.1,Bob Weinhauer 
126,florida-state,1981,Metro,0.393,73.9,B Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,Joe Williams 
127,virginia-commonwealth,1981,Sun Belt,0.607,67.3,B. Shropshire,10,0,1.7,0.333,0,0,0.75,0.1,0,0,0,0.2,0.8,J.D. Barnett 
128,jacksonville,1981,Sun Belt,0.519,76.2,Barlow Taylor,26,14,19.3,0.446,0,0,0.586,3.5,0.3,0.4,0.5,1,3.5,Bob Wenzel 
129,duquesne,1981,EAA,0.407,65.7,Barnett Harris,24,15,21.3,0.417,0,0,0.567,4,1,0.4,0.5,0.7,7.6,Mike Rice 
130,bradley,1981,MVC,0.722,69.3,Barney Mines,35,0,23.8,0.464,0,0,0.803,2.2,1.7,0,0.2,0,8.4,Dick Versace 
131,marshall,1981,Southern,0.593,80,Barry Kincaid,27,5,15,0.404,0,0,0.611,2,0.9,0.9,0,0.7,6.7,Bob Zuffelato 
132,navy,1981,ECACS,0.462,65.2,Barry Melvin,5,0,0,0.4,0,0,0.5,0.2,0.2,0,0,0,1,Paul Evans 
133,st-bonaventure,1981,EAA,0.5,62.5,Barry Mungar,2,0,4,0,0,0,0,0.5,1.5,0.5,0,0.5,0,Jim Satalin 
134,st-francis-ny,1981,ECACM,0.37,65.1,Barry Rohrssen,6,0,2.7,0.429,0,0,0.75,0.8,0.2,0,0,0.2,1.5,Gene Roberti 
135,toledo,1981,MAC,0.577,75.8,Barry Sonnenberg,23,0,7.7,0.341,0,0,0.545,2,0.1,0.1,0.4,0,1.6,Bob Nichols 
136,notre-dame,1981,Ind,0.37,59.6,Barry Spencer,25,20,21.6,0.447,0,0,0.567,4.5,0.4,0.4,0.3,0,5.8,Digger Phelps 
137,iowa-state,1981,Big 8,0.37,67.4,Barry Stevens,26,20,29.5,0.46,0,0,0.763,4.5,1.2,0.8,0.2,2.3,13,Johnny Orr 
138,oregon,1981,Pac-10,0.333,74.4,Barry Walker,24,6,14.6,0.447,0,0,0.712,0.8,2.3,0.8,0,2,5.3,Jim Haney 
139,minnesota,1981,Big Ten,0.793,68,Barry Wohler,14,0,4,0.6,0,0,0.5,1,0.5,0.2,0,1.1,1.1,Jim Dutcher 
140,yale,1981,Ivy,0.5,66.2,Bart Williams,26,0,23.5,0.345,0,0,0.583,0.9,1.9,0,0,0,3.7,Ray Carazo 
141,arkansas-state,1981,Southland,0.577,59,Basil Brown,4,0,0,0.5,0,0,0,1.3,0,0,0,0,0.5,Marvin Adams 
142,idaho,1981,Big Sky,0.9,71.3,Ben Ross,15,0,4,0.29,0,0,0.625,0.5,0.2,0.2,0.1,0.7,1.5,Don Monson 
143,michigan-state,1981,Big Ten,0.393,58.8,Ben Tower,28,21,25.7,0.449,0,0,0.621,4.6,0.8,0.5,0.3,0,5.4,Jud Heathcote 
144,mississippi-valley-state,1981,SWAC,0.231,70.6,Benard Branch,25,0,0,0.32,0,0,0.556,1.2,0,0,0,0,7.2,Pop Gaines 
145,houston,1981,SWC,0.758,81.4,Benny Anders,19,0,4.8,0.39,0,0,0.273,0.8,0.5,0.4,0.1,0.7,1.8,Guy Lewis 
146,howard,1981,MEAC,0.607,66.3,Bernard Perry,28,0,0,0.454,0,0,0.824,3.9,0,0,0,0,13.8,A.B. Williamson 
147,depaul,1981,Ind,0.929,77.7,Bernard Randolph,28,25,29.8,0.508,0,0,0.689,5.1,2,1.5,0.1,2.2,14.7,Ray Meyer 
148,fresno-state,1981,PCAA,0.9,59.6,Bernard Thompson,30,0,27.9,0.582,0,0,0.772,3.8,0.8,1.4,0.3,1.5,9.2,Tiny Grant 
149,samford,1981,A-Sun,0.423,67.9,Bernie Matthews,26,12,0,0.458,0,0,0.857,1.7,1.8,0,0,0,5.5,Mike Hanks 
150,montana-state,1981,Big Sky,0.379,65.7,Bethel Debnam,28,13,23.6,0.452,0,0,0.528,2.3,2.1,0.8,0.3,2.3,7.4,Bruce Haroldson 
151,massachusetts,1981,EAA,0.259,60.5,Bill Bayno,14,1,9.4,0.321,0,0,0.5,0.8,0.7,0,0,0,1.7,Tom McLaughlin 
152,indiana-state,1981,MVC,0.333,67.6,Bill Bender,3,0,0,0.6,0,0,0,1.3,0,0,0,0,2,Bill Hodges 
153,vermont,1981,ECACN,0.385,73.5,Bill Brown,22,0,0,0.522,0,0,0.625,1.5,0,0,0,0,5.9,Bill Whitmore 
154,fordham,1981,MAAC,0.621,64.3,Bill Calhoun,25,0,20.6,0.481,0,0,0.638,3.4,0.6,0.5,0.2,0.9,6.1,Tommy Penders 
155,michigan-state,1981,Big Ten,0.393,58.8,Bill Cawood,22,1,4.8,0.333,0,0,0.5,0.4,0.2,0.1,0,0,0.5,Jud Heathcote 
156,brown,1981,Ivy,0.192,68.2,Bill Chapman,26,20,25.8,0.497,0,0,0.688,5.4,1.3,1.2,0.2,2.3,7.9,Mike Cingiser 
157,robert-morris,1981,ECACM,0.567,71.1,Bill Clanagan,0,0,0,0,0,0,0,0,0,0,0,0,0,Matt Furjanic 
158,pittsburgh,1981,EAA,0.667,68.8,Bill Culbertson,19,0,8.7,0.438,0,0,0.364,0.3,1.6,0.4,0.2,0,1.7,Roy Chipman 
159,richmond,1981,ECACS,0.621,65.3,Bill Dooley,29,0,19.8,0.461,0,0,0.646,3.1,1,0.4,0,1.1,4.7,Dick Tarrant 
160,santa-clara,1981,WCAC,0.593,73.5,Bill Duffy,21,19,26.7,0.518,0,0,0.744,3.8,1.9,1.3,0,0,15.2,Carroll Williams 
161,gonzaga,1981,WCAC,0.556,64.9,Bill Dunlap,27,0,30.4,0.621,0,0,0.691,6.4,1,0.3,0.3,2,15.2,Jay Hillock 
162,cleveland-state,1981,Ind,0.63,75.3,Bill Evans,21,0,0,0.429,0,0,0.538,2,0.4,0.1,0.1,0,2.7,Ray Dieringer 
163,bowling-green-state,1981,MAC,0.621,74.2,Bill Faine,29,10,0,0.481,0,0,0.761,4.7,0.5,0.4,0.4,1.5,9.4,John Weinert 
164,richmond,1981,ECACS,0.621,65.3,Bill Flye,29,0,28.8,0.486,0,0,0.818,4.7,1,0.4,0.1,2.1,10.3,Dick Tarrant 
165,navy,1981,ECACS,0.462,65.2,Bill Freitag,23,0,0,0.314,0,0,0.647,1.1,0.4,0,0,0,2.3,Paul Evans 
166,wyoming,1981,WAC,0.767,62.8,Bill Garnett,30,0,36.4,0.609,0,0,0.788,8.1,2.4,0.6,0.9,1.2,18.1,Jim Brandenburg 
167,marquette,1981,Ind,0.719,69.9,Bill Gosse,0,0,0,0,0,0,0,0,0,0,0,0,0,Hank Raymonds 
168,new-mexico,1981,WAC,0.5,70.6,Bill Harvey,24,4,11.7,0.465,0,0,0.786,0.5,1.2,0.2,0,0.8,4.3,Gary Colson 
169,yale,1981,Ivy,0.5,66.2,Bill Jacob,1,0,1,0,0,0,1,0,0,0,0,0,2,Ray Carazo 
170,georgetown,1981,Big East,0.811,67.6,Bill Martin,35,0,13.4,0.5,0,0,0.622,2.4,0.3,0.3,0.2,1.1,4.9,John Thompson 
171,east-carolina,1981,ECACS,0.37,64,Bill McNair,22,5,13.3,0.5,0,0,0.519,2.6,0.4,0.8,0.3,0.8,5.1,Dave Odom 
172,texas-pan-american,1981,Ind,0.2,71.2,Bill Moser,25,0,16.7,0.49,0,0,0.683,3.8,0.9,0.3,0.7,1.5,6.7,Bill White 
173,appalachian-state,1981,Southern,0.423,62.7,Bill Nealy,26,0,15.2,0.37,0.37,0,0.286,3.2,0.2,0.2,0.2,0.8,2.4,Kevin Cantwell 
174,virginia-military-institute,1981,Southern,0.038,61.7,Bill Nivison,26,0,18.5,0.492,0,0,0.512,3.9,0.9,0,0,1.4,3.2,Charlie Schmaus 
