team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
california-santa-barbara,2013,"Big West",0.7,71.2,"Aamahd Walker",15,0,4.2,0.4,0.455,0.25,0.5,0.7,0.1,0.3,0.1,0.3,1.1,"Bob Williams "
northern-illinois,2013,MAC,0.469,62.3,"Aaric Armstead",30,21,25.5,0.389,0.44,0.262,0.667,4.1,0.4,1,0.4,1.7,7.7,"Mark Montgomery "
texas-southern,2013,SWAC,0.559,76,"Aaric Murray",34,32,32,0.491,0.526,0.337,0.741,7.5,1.2,0.9,2.5,2.6,21.6,"Mike Davis "
western-kentucky,2013,"Sun Belt",0.625,68.6,"Aaron Adeoye",32,15,15.2,0.387,0.402,0.25,0.6,4.3,0.4,0.3,0.5,1,3.6,"Ray Harper "
north-dakota,2013,"Big Sky",0.5,74.3,"Aaron Anderson",34,30,29.4,0.458,0.5,0.394,0.803,2.5,2.8,0.9,0,1.2,11.1,"Brian Jones "
northern-illinois,2013,MAC,0.469,62.3,"Aaron Armstead",32,7,19.3,0.395,0.484,0.296,0.817,2.4,0.4,0.4,0.2,1,6.8,"Mark Montgomery "
old-dominion,2013,CUSA,0.5,64.2,"Aaron Bacote",35,34,29.5,0.4,0.43,0.354,0.78,3,2.9,0.7,0.1,2.9,15.5,"Jeff Jones "
north-florida,2013,A-Sun,0.5,72.4,"Aaron Bodager",12,0,6,0.5,0.5,0.5,0.5,0.4,0.3,0,0,0.3,3.3,"Matthew Driscoll "
niagara,2013,MAAC,0.212,75.3,"Aaron Bodie",2,0,2,0,0,0,0,0.5,0,0,0,0,0,"Chris Casey "
georgetown,2013,"Big East",0.545,71,"Aaron Bowen",33,1,20.3,0.494,0.602,0.26,0.492,3.7,0.8,1,0.3,1.2,6,"John Thompson "
stanford,2013,Pac-12,0.639,72.7,"Aaron Bright",7,0,19.3,0.357,0.3,0.389,0.737,1.1,2.3,0.3,0,1,5.9,"Johnny Dawkins "
mount-st-marys,2013,NEC,0.485,75.9,"Aaron Brown",13,0,2.3,0.455,0.75,0.286,0,0.1,0,0.1,0,0.2,0.9,"Jamion Christian "
southern-mississippi,2013,CUSA,0.806,72.1,"Aaron Brown",36,30,27,0.429,0.462,0.391,0.732,4.3,1.3,0.7,0.1,1.5,9.9,"Donnie Tyndall "
texas-southern,2013,SWAC,0.559,76,"Aaron Clayborn",34,2,15.9,0.517,0.517,0,0.492,3.5,0.5,0.1,0.2,0.8,4.5,"Mike Davis "
ohio-state,2013,"Big Ten",0.714,69.5,"Aaron Craft",35,35,34.4,0.473,0.522,0.302,0.741,3.6,4.7,2.5,0.1,2.6,9.8,"Thad Matta "
seton-hall,2013,"Big East",0.5,71.8,"Aaron Geramipoor",30,5,10.2,0.698,0.698,0,0.5,1.9,0.1,0.2,0.4,0.3,2.2,"Kevin Willard "
arizona,2013,Pac-12,0.868,72.9,"Aaron Gordon",38,38,31.2,0.495,0.513,0.356,0.422,8,2,0.9,1,1.4,12.4,"Sean Miller "
stetson,2013,A-Sun,0.226,61.8,"Aaron Graham",30,24,25.5,0.365,0.407,0.333,0.774,1.6,1,0.7,0.1,1.4,7.8,"Corey Williams "
kentucky,2013,SEC,0.725,74.8,"Aaron Harrison",40,40,32.6,0.423,0.473,0.356,0.79,3,1.9,1.1,0.3,1.6,13.7,"John Calipari "
drake,2013,MVC,0.484,68.3,"Aaron Hawley",31,25,27.1,0.443,0.419,0.466,0.705,3.8,0.6,0.6,0,1.3,10.3,"Ray Giacoletti "
mississippi,2013,SEC,0.576,75.2,"Aaron Jones",33,27,27.1,0.43,0.448,0.167,0.714,6.6,0.4,0.9,2.1,0.7,6,"Andy Kennedy "
texas-el-paso,2013,CUSA,0.676,69,"Aaron Jones",8,0,6,0.286,0.286,0,0.5,0.1,0.8,0.1,0,1.1,0.8,"Tim Floyd "
louisiana-lafayette,2013,"Sun Belt",0.657,81,"Aaron Leblanc",6,0,3.5,0.5,0.5,0,0,1,0.2,0,0.3,0.2,1,"Bob Marlin "
northwestern,2013,"Big Ten",0.424,59.5,"Aaron Liberman",10,0,0.9,1,1,0,0,0.5,0,0,0,0,0.2,"Chris Collins "
portland-state,2013,"Big Sky",0.531,72.5,"Aaron Moore",9,9,29.8,0.483,0.483,0,0.667,5.8,1.6,0.8,0.6,1.9,11.8,"Tyler Geving "
maryland-baltimore-county,2013,AEC,0.3,65.6,"Aaron Morgan",20,2,15.8,0.283,0.261,0.297,0.774,1.4,1.4,0.9,0.1,1,3.5,"Aki Thomas "
furman,2013,Southern,0.3,65.2,"Aaron ONeill",25,11,10.4,0.393,0.25,0.417,0.75,0.8,0.6,0,0,0.2,1.4,"Niko Medved "
cal-state-northridge,2013,"Big West",0.486,76.8,"Aaron Parks",35,1,18.6,0.326,0.333,0.286,0.707,1.9,1.4,0.8,0,1.2,6.6,"Reggie Theus "
georgia-tech,2013,ACC,0.485,66.7,"Aaron Peek",3,0,3,0.333,0.5,0,0,1,0,0,0,0,0.7,"Brian Gregory "
texas-tech,2013,"Big 12",0.438,68.4,"Aaron Ross",29,0,9.8,0.486,0.528,0.381,0.8,1.9,0.4,0.1,0.1,0.4,3.7,"Tubby Smith "
wake-forest,2013,ACC,0.515,69.7,"Aaron Rountree",32,0,10.2,0.417,0.447,0.3,0.389,1.5,0.5,0.4,0.5,0.4,1.6,"Jeff Bzdelik "
appalachian-state,2013,Southern,0.3,67.8,"Aaron Scott",10,0,9.9,0.5,0.727,0.333,0.6,0.5,0.4,0.1,0,0.3,3.7,"Jason Capel "
pacific,2013,WCC,0.529,73.1,"Aaron Short",33,2,17.5,0.461,0.414,0.509,0.905,3.4,1.1,0.7,0.2,0.9,4.7,"Ron Verlin "
eastern-illinois,2013,OVC,0.367,67.7,"Aaron Siler",11,0,3.6,0.333,0,0.429,0.667,0.2,0.3,0.2,0,0.2,1,"Jay Spoonhour "
robert-morris,2013,NEC,0.611,72,"Aaron Tate",36,12,18.6,0.465,0.465,0,0.5,4.4,0.6,0.7,0.1,0.8,3.1,"Andrew Toole "
florida-state,2013,ACC,0.611,70.9,"Aaron Thomas",36,16,31.5,0.454,0.485,0.371,0.808,4.2,1.8,1.6,0.3,2.4,14.5,"Leonard Hamilton "
wyoming,2013,MWC,0.545,64.5,"Aaron Tyser",10,0,1.3,0.714,0.667,0.75,0,0.7,0.1,0,0,0.2,1.3,"Larry Shyatt "
hawaii,2013,"Big West",0.645,80,"Aaron Valdes",31,3,9.1,0.526,0.561,0.333,0.5,2,0.3,0.3,0.2,0.4,3.2,"Gib Arnold "
missouri-kansas-city,2013,WAC,0.333,69.5,"Aaron Washington",7,2,20.9,0.333,0.364,0,0.5,1.7,1.9,1,0,0.6,2.6,"Kareem Richardson "
iowa,2013,"Big Ten",0.606,81.5,"Aaron White",33,33,28.1,0.584,0.631,0.258,0.807,6.7,1.8,1,0.6,1.8,12.8,"Fran McCaffery "
california-irvine,2013,"Big West",0.657,70.5,"Aaron Wright",35,0,14.7,0.438,0.47,0.318,0.652,1.9,1.8,0.8,0.1,1.1,4.1,"Russ Turner "
northern-arizona,2013,"Big Sky",0.469,67,"Aaseem Dixon",32,27,32.1,0.394,0.429,0.358,0.769,2.7,2.2,1.1,0,1.8,11.2,"Jack Murphy "
cal-state-bakersfield,2013,WAC,0.406,69.2,"Abdul Ahmed",25,11,14.6,0.343,0.338,0.353,0.667,2.6,0.3,0.3,0.2,1,3.8,"Rod Barnes "
east-tennessee-state,2013,A-Sun,0.543,76.8,"Adam Denison",1,0,0,0,0,0,0,0,0,0,0,0,0,"Murry Bartow "
oral-roberts,2013,Southland,0.515,71.4,"Adam Glenville",5,0,1.6,0,0,0,0.75,0.6,0,0,0,0,0.6,"Scott Sutton "
marist,2013,MAAC,0.387,68.4,"Adam Kemp",28,28,27.8,0.512,0.512,0,0.564,7.6,0.6,0.3,2.1,1.6,10.1,"Jeff Bower "
manhattan,2013,MAAC,0.758,77,"Adam Lacey",4,0,0.5,0,0,0,0,0.3,0,0,0,0,0,"Steve Masiello "
western-illinois,2013,Summit,0.333,61.3,"Adam Link",30,21,28.9,0.582,0.585,0,0.571,4.7,1.7,0.7,0.5,1.7,9.2,"Jim Molinari "
hartford,2013,AEC,0.515,65.5,"Adam Oresky",7,0,1,0,0,0,0,0.1,0,0,0,0,0,"John Gallagher "
hofstra,2013,CAA,0.303,68.5,"Adam Savion",10,0,3.6,0,0,0,0.333,0.6,0.2,0.2,0,0.4,0.2,"Joe Mihalich "
virginia-tech,2013,ACC,0.29,62.9,"Adam Smith",14,9,25.8,0.384,0.405,0.358,0.818,2.3,2.1,0.1,0,1.4,11,"James Johnson "
gardner-webb,2013,"Big South",0.545,73.5,"Adam Sweeney",6,0,3.3,0.182,0.4,0,1,0.2,0,0,0,0.2,1,"Tim Craft "
south-dakota,2013,Summit,0.4,69.5,"Adam Thoseby",30,11,18.4,0.392,0.459,0.301,0.806,2.3,0.7,0.4,0.3,1.2,7.7,"Joey James "
high-point,2013,"Big South",0.516,71.1,"Adam Weary",24,17,25.7,0.495,0.545,0.34,0.689,2,2,0.7,0.3,2.1,11.7,"Scott Cherry "
evansville,2013,MVC,0.424,69.4,"Adam Wing",33,33,31.4,0.402,0.44,0.28,0.797,3.8,1.9,0.8,0.2,1.6,7.1,"Marty Simmons "
iowa,2013,"Big Ten",0.606,81.5,"Adam Woodbury",33,33,16.9,0.515,0.515,0,0.71,3.9,0.8,0.5,0.6,1,5.7,"Fran McCaffery "
south-carolina-state,2013,MEAC,0.3,62.8,"Adama Adams",30,18,24.5,0.364,0.422,0.289,0.768,2.5,2.8,0.6,0,2.8,8.9,"Murray Garvin "
drake,2013,MVC,0.484,68.3,"Addison Joseph",1,0,0,0,0,0,0,0,0,0,0,0,0,"Ray Giacoletti "
north-carolina-wilmington,2013,CAA,0.281,63.1,"Addison Spruill",32,19,21.9,0.357,0.41,0.21,0.674,3.5,1,0.5,0.2,1.2,9.3,"Buzz Peterson "
akron,2013,MAC,0.618,68.6,"Adedeji Ibitayo",29,20,15.1,0.466,0.56,0.394,0.447,2.2,0.5,0.5,0.4,0.6,5.2,"Keith Dambrot "
college-of-charleston,2013,CAA,0.438,63,"Adjehi Baru",32,31,28.8,0.502,0.502,0,0.634,7.5,1.1,0.6,1.4,1.8,9,"Doug Wojcik "
clemson,2013,ACC,0.639,63.5,"Adonis Filer",35,4,14.7,0.333,0.366,0.297,0.794,1.3,1.2,0.7,0,1.3,3.9,"Brad Brownell "
furman,2013,Southern,0.3,65.2,"Adonis Rwabigwi",24,19,21.2,0.55,0.55,0,0.565,3.4,0.4,0.3,1,1.6,4.8,"Niko Medved "
michigan-state,2013,"Big Ten",0.763,75.5,"Adreian Payne",31,28,28.1,0.503,0.536,0.423,0.79,7.3,1.3,0.5,0.9,2,16.4,"Tom Izzo "
mcneese-state,2013,Southland,0.355,68.1,"Adrian Fields",28,24,22.9,0.345,0.41,0.28,0.707,2.8,0.6,0.9,0.2,1.3,5.9,"Dave Simmons "
oral-roberts,2013,Southland,0.515,71.4,"Adrion Webber",32,1,10.3,0.31,0.37,0.283,0.889,1.2,0.2,0.3,0,0.4,3,"Scott Sutton "
wofford,2013,Southern,0.606,66.8,"Aerris Smith",31,11,8.8,0.514,0.514,0,0.563,1.8,0.1,0.1,0,0.2,1.5,"Mike Young "
harvard,2013,Ivy,0.844,73.2,"Agunwa Okolie",25,0,9,0.568,0.571,0.5,0.517,1.6,0.3,0.3,0.1,0.6,2.6,"Tommy Amaker "
north-carolina-at,2013,MEAC,0.281,65.3,"Ahmad Abdullah",18,0,7.9,0.25,0.333,0.154,0.667,0.8,0.3,0.3,0,0.6,1.2,"Cy Alexander "
utah,2013,Pac-12,0.636,75.1,"Ahmad Fields",19,0,7.5,0.475,0.5,0.4,0.6,2.1,0.5,0.2,0.1,0.5,3.3,"Larry Krystkowiak "
stony-brook,2013,AEC,0.676,71.4,"Ahmad Walker",34,31,24,0.423,0.466,0.091,0.605,5.3,2.1,0.9,0.1,1.9,7,"Steve Pikiell "
illinois-chicago,2013,Horizon,0.194,66.8,"Ahman Fells",25,0,8.9,0.489,0.526,0.286,0.462,2.1,0.1,0.4,0.2,0.6,2.1,"Howard Moore "
stetson,2013,A-Sun,0.226,61.8,"Aidan Hadley",2,0,1,0,0,0,0,0,0,0.5,0,0,0,"Corey Williams "
portland,2013,WCC,0.484,75.1,"Aitor Zubizarreta",7,0,3,0,0,0,1,0.3,0.3,0.1,0,0.9,0.3,"Eric Reveno "
quinnipiac,2013,MAAC,0.625,78.8,"AJ Sumbry",29,3,9.1,0.395,0.395,0,0.615,1.3,0.1,0,0.4,0.6,1.4,"Tom Moore "
nevada,2013,MWC,0.469,72.4,"AJ West",21,19,24.6,0.524,0.529,0,0.486,6.8,0.2,0.2,2.3,1,6.8,"David Carter "
idaho-state,2013,"Big Sky",0.379,70.8,"Ajak Magot",20,0,11.5,0.459,0.459,0,0.636,2.3,0.1,0.3,0.5,0.4,2.4,"Bill Evans "
grand-canyon,2013,WAC,0.5,72.1,"Akachi Okugo",29,12,20.8,0.261,0.283,0.241,0.7,1.4,2.2,0.4,0,1.3,3.7,"Dan Majerle "
east-carolina,2013,CUSA,0.5,72.9,"Akeem Richmond",34,34,35.3,0.401,0.441,0.395,0.848,2.8,1.6,1.3,0,1.7,18,"Jeff Lebo "
massachusetts-lowell,2013,AEC,0.357,61.4,"Akeem Williams",28,28,32,0.383,0.41,0.344,0.803,4.1,3.4,1.3,0.1,3.2,15.8,"Pat Duquette "
virginia,2013,ACC,0.811,66.2,"Akil Mitchell",37,36,25.7,0.561,0.565,0,0.427,7,1.2,0.8,0.6,1.3,6.8,"Tony Bennett "
southern-illinois-edwardsville,2013,OVC,0.355,73,"Akintoye Okunrinboye",1,0,4,0.5,1,0,0,0,0,1,0,0,2,"Lennox Forrester "
northern-arizona,2013,"Big Sky",0.469,67,"Ako Kaluna",32,2,11.9,0.456,0.547,0.179,0.711,2.4,0.3,0.3,0.2,0.6,4.3,"Jack Murphy "
louisville,2013,AAC,0.838,81,"Akoy Agau",19,0,5,0.778,0.875,0,0.3,1.1,0.1,0.1,0.3,0.4,0.9,"Rick Pitino "
northern-illinois,2013,MAC,0.469,62.3,"Aksel Bolin",31,25,25.8,0.406,0.46,0.338,0.693,4.5,1.1,0.6,0.2,1.6,6.5,"Mark Montgomery "
quinnipiac,2013,MAAC,0.625,78.8,"Alain Chigha",8,0,4.1,0,0,0,0,0.3,0,0.3,0,0.1,0,"Tom Moore "
lafayette,2013,Patriot,0.355,71.4,"Alan Flannigan",25,13,14.1,0.433,0.406,1,0.778,2,0.8,0.3,0,0.6,3.3,"Fran OHanlon "
california-santa-barbara,2013,"Big West",0.7,71.2,"Alan Williams",28,28,31.1,0.533,0.533,0,0.685,11.5,1.2,1.2,2.4,2.1,21.3,"Bob Williams "
penn-state,2013,"Big Ten",0.471,70.9,"Alan Wisniewski",20,0,4.4,0.571,0.571,0,0.667,1,0.1,0,0.2,0.1,0.6,"Patrick Chambers "
arkansas,2013,SEC,0.647,80.1,"Alandise Harris",33,4,18.6,0.462,0.485,0.28,0.681,3.3,1.2,0.8,0.9,1.6,9,"Mike Anderson "
savannah-state,2013,MEAC,0.406,61.5,"Alante Fenner",31,7,16,0.413,0.451,0.319,0.758,1.6,0.7,0.6,0.1,1.5,6.3,"Horace Broadnax "
syracuse,2013,ACC,0.824,68,"Albert Nassar",4,0,1.5,0,0,0,0,1,0,0,0,0,0,"Jim Boeheim "
green-bay,2013,Horizon,0.774,74.3,"Alec Brown",30,30,30.3,0.476,0.498,0.42,0.727,5.7,1,0.5,3.1,2.2,15.3,"Brian Wardle "
valparaiso,2013,Horizon,0.529,71.7,"Alec Peters",34,34,29.6,0.49,0.588,0.383,0.773,4.8,1.4,0.9,0.1,1.9,12.7,"Bryce Drew "
portland,2013,WCC,0.484,75.1,"Alec Wintering",27,27,27.8,0.344,0.333,0.367,0.833,2.3,4.5,1.6,0,2,7.7,"Eric Reveno "
st-francis-ny,2013,NEC,0.563,69,"Aleksandar Isailovic",25,2,14.3,0.311,0.458,0.258,0.7,1.7,0.3,0.7,0.2,0.6,3.2,"Glenn Braica "
western-kentucky,2013,"Sun Belt",0.625,68.6,"Aleksej Rostov",20,9,17.3,0.366,0.411,0.269,0.684,3.3,0.4,0.2,0.4,1.4,4.7,"Ray Harper "
eastern-illinois,2013,OVC,0.367,67.7,"Alex Austin",27,16,22.2,0.383,0.491,0.323,0.83,2.4,1,0.7,0,0.9,7,"Jay Spoonhour "
butler,2013,"Big East",0.452,68.5,"Alex Barlow",31,31,32.9,0.368,0.36,0.376,0.771,3.7,3.5,2,0.3,1.2,6.6,"Brandon Miller "
tennessee-state,2013,OVC,0.167,68.7,"Alex Bates",29,12,10.7,0.471,0.471,0,0.5,1.6,0.2,0.3,0.2,0.2,0.8,"Travis Williams "
north-carolina-asheville,2013,"Big South",0.531,77.7,"Alex Biggerstaff",7,0,7,0.091,0.333,0,0.5,1.3,0.7,0,0,0.1,0.4,"Nick McDevitt "
chattanooga,2013,Southern,0.545,75.4,"Alex Bran",24,0,10.9,0.397,0.48,0.354,0.75,0.8,0.3,0.4,0,0.8,3.3,"Will Wade "
oklahoma-state,2013,"Big 12",0.618,80.2,"Alex Budke",7,0,1.3,1,0,1,0,0.1,0.1,0.3,0,0.1,0.4,"Travis Ford "
texas-am,2013,SEC,0.529,64.7,"Alex Caruso",34,33,29.8,0.46,0.52,0.333,0.685,3.6,5,2,0.8,2.5,9,"Billy Kennedy "
fresno-state,2013,MWC,0.538,72.7,"Alex Davis",38,31,25,0.482,0.494,0.25,0.59,3.7,0.7,0.6,1.9,1.6,5.8,"Rodney Terry "
boston-college,2013,ACC,0.25,68.7,"Alex Dragicevich",27,13,15.2,0.415,0.583,0.345,0.696,1.4,0.7,0.5,0.4,0.6,3.9,"Steve Donahue "
texas-tech,2013,"Big 12",0.438,68.4,"Alex Foster",25,0,7.3,0.528,0.528,0,0.667,1.5,0,0,0.2,0.3,1.8,"Tubby Smith "
houston-baptist,2013,Southland,0.194,67.5,"Alex Fountain",24,3,11,0.386,0.41,0.2,0.8,1.5,0.3,0.2,0.4,0.6,2.5,"Ron Cottrell "
bryant,2013,NEC,0.563,73.5,"Alex Francis",32,32,36,0.577,0.577,0,0.614,8.2,1.4,1.2,0.8,3,18.6,"Tim OShea "
michigan-state,2013,"Big Ten",0.763,75.5,"Alex Gauna",29,6,7.1,0.553,0.568,0,0.308,1.3,0.2,0.1,0.2,0.2,1.6,"Tom Izzo "
dayton,2013,A-10,0.703,72.2,"Alex Gavrilovic",15,0,6.6,0.625,0.7,0.25,0.6,1.4,0.1,0.1,0.1,0.2,2.3,"Archie Miller "
louisiana-tech,2013,CUSA,0.784,81,"Alex Hamilton",37,37,27.9,0.465,0.55,0.268,0.726,3.6,2.9,1.4,0.4,2.1,14.5,"Michael White "
cal-state-fullerton,2013,"Big West",0.355,67.5,"Alex Harris",27,26,33.1,0.391,0.447,0.335,0.663,3.3,2.4,1.3,0.1,2,15.6,"Dedrique Taylor "
new-mexico,2013,MWC,0.794,74,"Alex Kirk",32,32,32,0.49,0.544,0.214,0.667,8.7,1.1,0.4,2.7,1.8,13.3,"Craig Neal "
texas-pan-american,2013,WAC,0.281,65.7,"Alex Majewski",32,4,10.3,0.372,0.435,0.349,0.682,1.3,0.3,0.2,0.1,0.6,3.2,"Dan Hipsher "
dartmouth,2013,Ivy,0.429,68,"Alex Mitola",28,28,31.6,0.41,0.398,0.418,0.868,2.5,2.7,0.6,0,1.6,11.8,"Paul Cormier "
duke,2013,ACC,0.743,78.4,"Alex Murphy",5,0,6.6,0.167,0,0.2,0.5,1,0.4,0,0,0.2,1,"Mike Krzyzewski "
harvard,2013,Ivy,0.844,73.2,"Alex Nesbitt",15,0,3.5,0.25,0.333,0,0.6,0.2,0.4,0.1,0,0.1,0.3,"Tommy Amaker "
binghamton,2013,AEC,0.233,61.3,"Alex Ogundadegbe",27,9,11.4,0.467,0.477,0,0.613,1.8,0.4,0.5,0.2,0.9,2.3,"Tommy Dempsey "
northwestern,2013,"Big Ten",0.424,59.5,"Alex Olah",33,32,29.5,0.509,0.545,0.303,0.68,5.2,0.8,0.4,1.8,1.5,9.1,"Chris Collins "
creighton,2013,"Big East",0.771,78.7,"Alex Olsen",13,0,2.1,0.5,0.5,0,0.5,0.2,0.2,0,0,0,0.3,"Greg McDermott "
loyola-marymount,2013,WCC,0.406,73.3,"Alex Osborne",32,22,20.4,0.509,0.509,0,0.548,5.3,0.5,1.2,0.5,1,6.3,"Max Good "
nebraska-omaha,2013,Summit,0.531,79.9,"Alex Phillips",31,1,16.4,0.423,0.471,0.392,0.696,2.1,1.4,0.3,0.1,1,5.1,"Derrin Hansen "
kentucky,2013,SEC,0.725,74.8,"Alex Poythress",40,0,18.4,0.497,0.556,0.242,0.625,4.5,0.4,0.3,0.7,1,5.9,"John Calipari "
colgate,2013,Patriot,0.419,69.6,"Alex Ramon",16,0,7.4,0.368,0.714,0.167,0.667,0.6,0.4,0.2,0,0.6,1.1,"Matt Langel "
columbia,2013,Ivy,0.618,68,"Alex Rosenberg",34,21,28.9,0.432,0.432,0.432,0.822,3.7,1.3,0.7,0.1,1.6,16,"Kyle Smith "
northern-arizona,2013,"Big Sky",0.469,67,"Alex Stecca",6,0,1.7,1,1,0,0.5,0.3,0,0.2,0.2,0,0.7,"Jack Murphy "
auburn,2013,SEC,0.467,71.5,"Alex Thompson",21,0,7.8,0.333,0.333,0.333,0.25,1.5,0.2,0.3,0,0.4,1,"Tony Barbee "
sacramento-state,2013,"Big Sky",0.467,69,"Alex Tiffin",30,29,14.9,0.485,0.49,0,0.422,3.1,0.4,0.2,0.1,0.9,4,"Brian Katz "
california-irvine,2013,"Big West",0.657,70.5,"Alex Young",35,35,28.7,0.395,0.431,0.326,0.709,3.3,4.6,1,0.2,2,8.9,"Russ Turner "
abilene-christian,2013,Southland,0.355,71.4,"Alexsander Milosavljevic",19,0,6.7,0.515,0.531,0,0.5,1.7,0.2,0,0.2,0.5,2,"Joe Golding"
north-carolina-central,2013,MEAC,0.824,73.9,"Alfonzo Houston",34,33,26.2,0.433,0.464,0.16,0.766,2.8,1.3,0.6,0.1,1.2,9.5,"LeVelle Moton "
green-bay,2013,Horizon,0.774,74.3,"Alfonzo McKinnie",9,0,12.8,0.429,0.409,0.462,0.833,2.8,0.2,0.3,0.4,0.2,4.6,"Brian Wardle "
alabama,2013,SEC,0.406,67.8,"Algie Key",32,9,15.4,0.404,0.424,0.143,0.667,2.3,1.4,0.5,0.1,0.8,3.7,"Anthony Grant "
charleston-southern,2013,"Big South",0.419,81.4,"Alhaji Fullah",31,27,13.3,0.663,0.678,0,0.655,3.6,0.3,0.3,0.7,0.4,4.4,"Barclay Radebaugh "
nevada,2013,MWC,0.469,72.4,"Ali Fall",24,8,14,0.436,0.436,0,0.769,2,0.3,0.1,0.5,1.2,2.8,"David Carter "
eastern-michigan,2013,MAC,0.595,65.5,"Ali Farhat",12,0,2.4,0.294,0.4,0.143,0.5,0.5,0.2,0.3,0.1,0,1,"Rob Murphy "
davidson,2013,Southern,0.606,78.5,"Ali Mackay",15,0,3.5,0.75,0.833,0.5,0.5,0.8,0.1,0,0,0.1,1,"Bob McKillop "
high-point,2013,"Big South",0.516,71.1,"Allan Chaney",5,5,23.8,0.635,0.717,0,0.846,8.6,0.4,1,0.4,2,15.4,"Scott Cherry "
bethune-cookman,2013,MEAC,0.219,63.5,"Allan Dempster",30,3,12.6,0.511,0.511,0,0.639,2.9,0.1,0.5,0.3,0.7,3.9,"Gravelle Craig "
radford,2013,"Big South",0.629,78,"Allen Dickerson",31,1,9.1,0.434,0.643,0.359,0.533,0.8,0.4,0.4,0,0.4,2.2,"Mike Jones "
fresno-state,2013,MWC,0.538,72.7,"Allen Huddleston",38,5,22.3,0.406,0.509,0.321,0.629,2.1,1.5,1.2,0.1,0.9,8.8,"Rodney Terry "
idaho,2013,WAC,0.471,72.4,"Allen Jiles",14,0,5.3,0.5,0.6,0,0.4,0.6,0.4,0.1,0,0.6,0.6,"Don Verlin "
auburn,2013,SEC,0.467,71.5,"Allen Payne",30,29,28.2,0.465,0.513,0.207,0.761,5.4,1.7,1.2,0.2,1.7,7.6,"Tony Barbee "
penn-state,2013,"Big Ten",0.471,70.9,"Allen Roberts",18,0,18.5,0.349,0.462,0.3,0.758,2.7,1,0.2,0.2,0.6,5.7,"Patrick Chambers "
pepperdine,2013,WCC,0.484,71.2,"Allen Stevens",1,0,1,0,0,0,0,0,0,0,0,0,0,"Marty Wilson "
richmond,2013,A-10,0.576,66.5,"Alonzo Nelson-Ododa",33,28,26.8,0.422,0.465,0.295,0.547,5.4,0.8,0.8,2.4,1.4,6.2,"Chris Mooney "
north-dakota,2013,"Big Sky",0.5,74.3,"Alonzo Traylor",31,6,16.6,0.609,0.609,0,0.561,3.7,0.1,0.3,0.6,0.9,7.3,"Brian Jones "
loyola-marymount,2013,WCC,0.406,73.3,"Alozie Erondu",11,0,1.9,0.5,0.5,0,0,0.6,0,0,0.1,0,0.4,"Max Good "
