team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
western-michigan,2013,MAC,0.697,71.9,"A.J. Avery",32,0,9.8,0.396,0.396,0,0.667,1.8,0.2,0.2,0.6,0.5,1.8,"Steve Hawkins "
tennessee,2013,SEC,0.649,72.2,"A.J. Davis",25,1,9.4,0.4,0.407,0.375,0.222,1.6,0.2,0.2,0.2,0.4,1.3,"Cuonzo Martin "
yale,2013,Ivy,0.576,66.9,"A.J. Edwards",5,0,3,0.5,1,0.333,0.5,0.2,0.2,0,0,0.2,1.2,"James Jones "
iona,2013,MAAC,0.667,83.6,"A.J. English",33,33,36.6,0.406,0.473,0.354,0.766,3.9,4.3,1,0.4,2.8,17.2,"Tim Cluess "
purdue,2013,"Big Ten",0.469,72.3,"A.J. Hammons",31,25,25,0.513,0.525,0,0.701,7.4,0.5,0.4,3.1,2.5,10.8,"Matt Painter "
southern-utah,2013,"Big Sky",0.069,59,"A.J. Hess",29,25,27,0.394,0.411,0.381,0.875,4,1.2,0.3,0.1,1.1,9.3,"Nick Robinson "
oregon,2013,Pac-12,0.706,81.9,"A.J. Lapray",2,0,2.5,0,0,0,0,0,0,0,0,0,0,"Dana Altman "
east-tennessee-state,2013,A-Sun,0.543,76.8,"A.J. Merriweather",35,32,26.5,0.482,0.488,0.433,0.672,6.3,1.2,1.4,0.2,1.9,9.5,"Murry Bartow "
maryland,2013,ACC,0.531,70.9,"A.J. Metz",1,0,1,0,0,0,0,0,0,0,0,0,0,"Mark Turgeon "
wright-state,2013,Horizon,0.583,67.2,"A.J. Pacher",36,34,23.1,0.602,0.66,0.341,0.697,4.9,0.8,0.5,0.3,2,11.4,"Billy Donlon "
drake,2013,MVC,0.484,68.3,"A.J. Rutter",2,0,0.5,0,0,0,0,0.5,0,0,0,0,0,"Ray Giacoletti "
long-beach-state,2013,"Big West",0.469,69.9,"A.J. Spencer",32,28,28.5,0.464,0.545,0.203,0.75,3.2,1.7,0.5,0.1,1.1,9.1,"Dan Monson "
south-alabama,2013,"Sun Belt",0.355,68.9,"Aakim Saintil",31,10,22.7,0.329,0.371,0.271,0.739,2,1.8,1,0.1,1.5,6.3,"Matthew Graves "
