player_name,team,season,conference,coach,win_pcnt,avg_pts_game,number_of_games_in_season,num_games_started,avg_min_per_game,fg_percent,_2pt_pcnt,_3pt_pcnt,ft_pcnt,avg_rebounds,avg_assists,avg_steals,avg_blocks,avg_personal_fouls,avg_points_per_game
Theo Pinson,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,40.0,7.0,18.7,0.42,0.511,0.29,0.636,3.2,2.9,0.6,0.3,1.7,4.8
Marcus Paige,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,34.0,34.0,31.6,0.397,0.46,0.355,0.796,2.5,3.7,1.1,0.4,1.5,13.4
Nate Britt,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,39.0,0.0,15.4,0.393,0.451,0.313,0.8,1.5,1.8,0.6,0.0,1.2,5.6
Luke Maye,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,33.0,0.0,5.4,0.39,0.412,0.286,0.429,1.7,0.2,0.1,0.1,0.8,1.2
Justin Jackson,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,40.0,38.0,28.4,0.472,0.543,0.298,0.667,3.9,2.8,0.6,0.4,1.7,12.7
Joel Berry,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,40.0,39.0,30.7,0.448,0.507,0.376,0.872,3.3,3.8,1.5,0.2,2.2,13.4
Kanler Coker,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,13.0,0.0,1.2,0.25,0.5,0.0,0.0,0.5,0.1,0.0,0.0,0.2,0.2
Kennedy Meeks,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,33.0,28.0,20.6,0.563,0.563,0.0,0.708,5.9,1.0,0.8,1.0,2.2,9.8
Spenser Dalton,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,18.0,1.0,1.2,0.111,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1
Justin Coleman,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,14.0,1.0,1.2,0.25,0.5,0.0,0.5,0.1,0.1,0.0,0.0,0.1,0.2
Stilman White,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,18.0,0.0,1.7,0.125,0.167,0.0,0.5,0.3,0.1,0.0,0.0,0.3,0.2
Kenny Williams,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,29.0,0.0,4.2,0.364,0.778,0.077,1.0,0.4,0.2,0.1,0.0,0.4,0.8
Isaiah Hicks,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,40.0,3.0,18.1,0.619,0.619,0.0,0.756,4.6,0.7,0.5,0.6,3.0,9.2
Toby Egbuna,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,16.0,0.0,1.2,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0
Stilman White,UNC Tar Heels,2014,ACC,Roy Williams,0.684,77.7,9.0,0.0,2.6,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.2,0.0
Nate Britt,UNC Tar Heels,2014,ACC,Roy Williams,0.684,77.7,38.0,3.0,15.3,0.384,0.398,0.366,0.882,1.4,1.5,0.5,0.0,1.8,5.5
Justin Jackson,UNC Tar Heels,2014,ACC,Roy Williams,0.684,77.7,38.0,37.0,26.7,0.477,0.544,0.304,0.71,3.7,2.3,0.5,0.5,1.4,10.7
Joel Berry,UNC Tar Heels,2014,ACC,Roy Williams,0.684,77.7,30.0,0.0,13.2,0.404,0.451,0.354,0.757,0.9,1.5,0.4,0.0,1.5,4.2
J.P. Tokoto,UNC Tar Heels,2014,ACC,Roy Williams,0.684,77.7,38.0,34.0,29.1,0.428,0.435,0.375,0.615,5.6,4.3,1.5,0.3,2.4,8.3
Theo Pinson,UNC Tar Heels,2014,ACC,Roy Williams,0.684,77.7,24.0,1.0,12.5,0.368,0.429,0.269,0.611,3.0,1.5,0.6,0.2,0.9,2.8
Isaiah Hicks,UNC Tar Heels,2014,ACC,Roy Williams,0.684,77.7,38.0,3.0,14.8,0.544,0.547,0.0,0.621,3.0,0.3,0.2,0.4,2.5,6.6
Marcus Paige,UNC Tar Heels,2014,ACC,Roy Williams,0.684,77.7,38.0,38.0,33.2,0.413,0.438,0.395,0.865,2.9,4.5,1.7,0.2,1.6,14.1
Luke Davis,UNC Tar Heels,2014,ACC,Roy Williams,0.684,77.7,3.0,1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0
Justin Coleman,UNC Tar Heels,2014,ACC,Roy Williams,0.684,77.7,10.0,0.0,1.9,0.0,0.0,0.0,0.5,0.3,0.3,0.0,0.0,0.1,0.1
Spenser Dalton,UNC Tar Heels,2014,ACC,Roy Williams,0.684,77.7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Kennedy Meeks,UNC Tar Heels,2014,ACC,Roy Williams,0.684,77.7,37.0,32.0,23.3,0.562,0.564,0.0,0.641,7.3,1.1,0.6,1.2,2.6,11.4
Sasha Seymore,UNC Tar Heels,2014,ACC,Roy Williams,0.684,77.7,6.0,0.0,1.8,0.5,0.5,0.0,0.75,0.3,0.0,0.0,0.0,0.3,1.2
Jackson Simmons,UNC Tar Heels,2014,ACC,Roy Williams,0.684,77.7,28.0,1.0,3.6,0.692,0.692,0.0,0.75,0.4,0.0,0.1,0.0,0.6,0.8
Brice Johnson,UNC Tar Heels,2014,ACC,Roy Williams,0.684,77.7,38.0,37.0,24.7,0.566,0.566,0.0,0.678,7.8,0.9,0.7,1.1,2.9,12.9
Desmond Hubert,UNC Tar Heels,2014,ACC,Roy Williams,0.684,77.7,21.0,0.0,3.9,0.4,0.4,0.0,0.333,1.0,0.0,0.0,0.0,0.7,0.3
Joel James,UNC Tar Heels,2014,ACC,Roy Williams,0.684,77.7,38.0,3.0,10.1,0.451,0.451,0.0,0.667,1.9,0.2,0.1,0.2,1.4,2.5
Brice Johnson,UNC Tar Heels,2013,ACC,Roy Williams,0.706,76.6,34.0,2.0,19.4,0.566,0.566,0.0,0.622,6.1,0.9,0.7,1.3,2.8,10.3
James Michael McAdoo,UNC Tar Heels,2013,ACC,Roy Williams,0.706,76.6,34.0,34.0,30.1,0.458,0.466,0.0,0.537,6.8,1.7,1.3,0.9,2.7,14.2
Denzel Robinson,UNC Tar Heels,2013,ACC,Roy Williams,0.706,76.6,8.0,1.0,1.6,0.5,0.5,0.0,0.0,0.6,0.1,0.0,0.0,0.1,0.3
Desmond Hubert,UNC Tar Heels,2013,ACC,Roy Williams,0.706,76.6,31.0,0.0,6.1,0.467,0.467,0.0,0.294,1.1,0.1,0.0,0.4,0.7,0.6
Isaiah Hicks,UNC Tar Heels,2013,ACC,Roy Williams,0.706,76.6,34.0,0.0,7.3,0.417,0.452,0.2,0.579,1.0,0.2,0.1,0.4,1.0,1.2
Marcus Paige,UNC Tar Heels,2013,ACC,Roy Williams,0.706,76.6,34.0,33.0,35.6,0.44,0.493,0.389,0.877,3.2,4.2,1.5,0.2,2.0,17.5
James Manor,UNC Tar Heels,2013,ACC,Roy Williams,0.706,76.6,8.0,1.0,1.6,0.5,0.5,0.5,0.0,0.3,0.1,0.0,0.1,0.1,1.0
Wade Moody,UNC Tar Heels,2013,ACC,Roy Williams,0.706,76.6,12.0,1.0,2.1,0.5,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.3,0.8
Leslie McDonald,UNC Tar Heels,2013,ACC,Roy Williams,0.706,76.6,25.0,18.0,27.1,0.386,0.5,0.312,0.621,2.0,1.5,0.4,0.1,2.9,10.4
Nate Britt,UNC Tar Heels,2013,ACC,Roy Williams,0.706,76.6,34.0,16.0,20.9,0.367,0.377,0.25,0.794,1.4,2.4,1.1,0.1,2.5,5.1
J.P. Tokoto,UNC Tar Heels,2013,ACC,Roy Williams,0.706,76.6,34.0,33.0,28.7,0.489,0.531,0.222,0.5,5.8,3.1,1.6,0.5,2.7,9.3
Joel James,UNC Tar Heels,2013,ACC,Roy Williams,0.706,76.6,30.0,13.0,7.9,0.388,0.388,0.0,0.778,2.7,0.2,0.1,0.1,1.2,1.7
Jackson Simmons,UNC Tar Heels,2013,ACC,Roy Williams,0.706,76.6,32.0,1.0,5.8,0.55,0.55,0.0,0.5,1.1,0.3,0.2,0.0,0.6,1.0
Kennedy Meeks,UNC Tar Heels,2013,ACC,Roy Williams,0.706,76.6,34.0,17.0,16.3,0.548,0.548,0.0,0.586,6.1,0.8,0.3,0.8,1.7,7.6
Luke Davis,UNC Tar Heels,2013,ACC,Roy Williams,0.706,76.6,21.0,0.0,6.2,0.25,1.0,0.0,0.0,0.4,0.5,0.1,0.0,0.5,0.2
Denzel Robinson,UNC Tar Heels,2012,ACC,Roy Williams,0.694,76.7,12.0,0.0,1.4,0.5,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2
Leslie McDonald,UNC Tar Heels,2012,ACC,Roy Williams,0.694,76.7,30.0,1.0,17.9,0.357,0.354,0.359,0.795,2.1,1.2,0.5,0.1,1.4,7.2
Dexter Strickland,UNC Tar Heels,2012,ACC,Roy Williams,0.694,76.7,36.0,36.0,27.7,0.436,0.463,0.174,0.694,2.4,4.2,1.2,0.1,1.6,7.8
Luke Davis,UNC Tar Heels,2012,ACC,Roy Williams,0.694,76.7,20.0,0.0,4.1,1.0,0.0,1.0,1.0,0.2,1.2,0.2,0.0,0.3,0.4
Wade Moody,UNC Tar Heels,2012,ACC,Roy Williams,0.694,76.7,13.0,0.0,1.4,0.286,0.25,0.333,0.0,0.1,0.2,0.1,0.0,0.2,0.4
P.J. Hairston,UNC Tar Heels,2012,ACC,Roy Williams,0.694,76.7,34.0,14.0,23.6,0.431,0.486,0.396,0.779,4.3,1.4,1.3,0.4,1.9,14.6
Marcus Paige,UNC Tar Heels,2012,ACC,Roy Williams,0.694,76.7,35.0,34.0,29.2,0.356,0.368,0.344,0.836,2.7,4.6,1.4,0.1,1.7,8.2
Reggie Bullock,UNC Tar Heels,2012,ACC,Roy Williams,0.694,76.7,35.0,35.0,31.4,0.483,0.545,0.436,0.767,6.5,2.9,1.3,0.3,1.4,13.9
J.P. Tokoto,UNC Tar Heels,2012,ACC,Roy Williams,0.694,76.7,35.0,0.0,8.6,0.488,0.549,0.091,0.385,1.7,0.7,0.5,0.1,0.8,2.6
Jackson Simmons,UNC Tar Heels,2012,ACC,Roy Williams,0.694,76.7,32.0,0.0,7.3,0.667,0.667,0.0,0.643,1.8,0.3,0.1,0.1,0.8,1.9
James Manor,UNC Tar Heels,2012,ACC,Roy Williams,0.694,76.7,12.0,0.0,1.4,0.182,0.286,0.0,0.0,0.3,0.0,0.1,0.0,0.1,0.3
Frank Tanner,UNC Tar Heels,2012,ACC,Roy Williams,0.694,76.7,13.0,1.0,1.5,0.125,0.2,0.0,0.0,0.2,0.1,0.0,0.0,0.2,0.2
James Michael McAdoo,UNC Tar Heels,2012,ACC,Roy Williams,0.694,76.7,36.0,36.0,30.0,0.445,0.447,0.0,0.578,7.3,1.1,1.5,0.4,2.3,14.4
Joel James,UNC Tar Heels,2012,ACC,Roy Williams,0.694,76.7,30.0,3.0,9.4,0.509,0.509,0.0,0.563,2.4,0.2,0.2,0.3,1.2,2.2
Desmond Hubert,UNC Tar Heels,2012,ACC,Roy Williams,0.694,76.7,36.0,18.0,9.3,0.543,0.543,0.0,0.214,1.7,0.1,0.2,0.8,0.8,1.1
Brice Johnson,UNC Tar Heels,2012,ACC,Roy Williams,0.694,76.7,36.0,2.0,10.6,0.511,0.511,0.0,0.577,3.2,0.3,0.5,0.5,1.6,5.4
David Dupont,UNC Tar Heels,2011,ACC,Roy Williams,0.842,81.3,21.0,1.0,1.5,0.3,0.0,0.5,0.5,0.1,0.1,0.0,0.0,0.1,0.5
Patrick Crouch,UNC Tar Heels,2011,ACC,Roy Williams,0.842,81.3,23.0,1.0,1.7,0.273,0.4,0.167,0.5,0.3,0.3,0.0,0.0,0.1,0.4
Stewart Cooper,UNC Tar Heels,2011,ACC,Roy Williams,0.842,81.3,21.0,1.0,1.5,0.5,0.5,0.0,0.333,0.0,0.0,0.0,0.0,0.2,0.2
